Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,280241.9724464158,32.962924597922765,117.62308233191409
BDI,13959.722233389999,0.3328965191855587,23.846930019088038
BEN,70929.3889456324,9.834389276128714,138.65041588990434
BFA,61303.7222712652,14.074807258855515,229.5913973473806
BWA,68391.1389436018,46.67157659230355,682.4213971753107
CAF,5666.6666712,0.9405002341666667,165.97062942604705
CIV,267294.55576939124,40.75146315791098,152.4590092776501
CMR,188122.4445949424,21.09402658453198,112.12923917691363
COD,198169.1112696464,5.021303683292077,25.338478086323185
COG,43938.3889240396,12.66457864259938,288.2349342506349
DJI,9839.8055634274,3.7494229579890144,381.0464479018644
DZA,1458065.6678331192,883.171831376956,605.7147156406663
EGY,4054301.4476878857,1903.738582379039,469.56019599004304
ERI,12592.4722322962,6.587958625,523.1664206575507
ETH,495247.778173976,3.083832316718854,6.226847353236448
GAB,52988.08337572381,14.020091694444444,264.5895227995295
GHA,424975.3058955358,93.32779297015732,219.60756701731384
GIN,114839.72231409399,9.178861465516642,79.92758324869394
GMB,18235.5000145884,2.2248067092143424,122.00415165114731
GNB,4823.777781636801,1.1604361018974407,240.56582919615389
GNQ,39898.055587474,5.141930833333333,128.8767273898842
KEN,459406.94481196994,20.27060011409077,44.12340810909443
LBR,44589.166702338,5.9911510669130665,134.36337814761012
LBY,453962.25036316976,316.20204237614945,696.5381859905485
LSO,29620.8889125856,3.15950382814909,106.6647202071863
MAR,945239.0840895246,434.76518191773744,459.9526080076481
MLI,164492.0279093714,29.99007557738222,182.319325492817
MOZ,551175.8059964962,55.83615645805917,101.30371444209239
MRT,38639.6666975784,13.846294368923374,358.34404259473433
MWI,75981.3333941184,3.3675911802167096,44.32129616295191
NAM,145704.027894341,19.19375987404753,131.73115494079622
NER,33669.1389158242,5.296204735820469,157.30146081435123
NGA,569947.8615670694,173.24875332139172,303.97298595882955
RWA,45895.6389256054,1.5990448257142744,34.84088822265331
SDN,635836.1949531134,81.0131059653688,127.41191301848222
SEN,119592.8612067854,38.746387722485764,323.9857908867172
SLE,48542.1111499448,6.382072798974804,131.47497395119086
SOM,47017.083370947,3.276448486111111,69.68634060648067
SSD,7344.861116987001,2.083710694444444,283.6964050450584
SWZ,184318.94459189964,16.40173265880147,88.98560424766173
TCD,98363.9167453578,4.664812825,47.4240247780714
TGO,47978.4444828272,5.364866741357661,111.81827170903578
TUN,381397.58363845135,167.34670671823233,438.7723307572653
TZA,380866.8336380268,43.811820375657206,115.03186023620965
UGA,114759.97231403021,4.213398217583693,36.71487656039261
ZAF,3231654.363696435,1840.5981072125667,569.5528977013654
ZMB,351816.80583700904,17.39662510858821,49.44796502031737
ZWE,161251.1945734454,41.00266032020494,254.2781802557709
