Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,6605.353008430018,185640.69276621862,0.03558138525559309
BDI,280.5440532134439,8805.28788978878,0.03186086096500969
BEN,2778.231080246695,45188.30607478389,0.06148119550329884
BFA,4860.8405767576105,41129.743035583706,0.11818310103596363
BWA,6976.4264064227755,46491.608330843796,0.15005775573039112
CAF,258.45837699602134,3616.3601720713577,0.071469202374271
CIV,11879.927153084469,178674.16741182486,0.0664893382472157
CMR,6133.923994580725,123324.59345644347,0.049738043505062446
COD,3135.050209514533,132223.32157557303,0.023710266631916943
COG,2428.3269170845806,29688.34623418901,0.0817939435874716
DJI,652.2203020131229,6593.4616716979735,0.09891925281263683
DZA,125352.23952727258,980058.4597910874,0.12790281872980627
EGY,307018.4995315668,2692464.398281733,0.11402880562784738
ERI,965.2156906185116,8120.52109711061,0.11886129954910754
ETH,7728.6098072774175,327672.0295772498,0.023586419070460732
GAB,2519.453361897339,36018.85226475741,0.06994818556066248
GHA,20098.600920534223,276439.9231916257,0.07270513133011564
GIN,2702.2836700331454,75056.38371835175,0.03600338220628155
GMB,541.1539425382529,10824.416813908101,0.049993819698714276
GNB,273.11811228794784,3106.4303336497373,0.08792024380185022
GNQ,1352.9345334887325,26602.54753242492,0.050857329804210955
KEN,10655.818360812582,298035.8681329106,0.0357534763435271
LBR,1608.726421595293,29166.05342502773,0.05515749416459705
LBY,46846.519389603265,304797.02986281354,0.15369742746734924
LSO,1290.837595120106,18811.125398588767,0.06862096593205137
MAR,79129.77489002878,622577.754023216,0.12710022865204726
MLI,10060.315881720444,110059.86704976104,0.09140766885691315
MOZ,17711.773555659984,373979.8766351674,0.04736023155849784
MRT,2885.5007111601863,26009.20743087395,0.11094150864954784
MWI,1789.8050580937024,47948.89252392666,0.03732734926464847
NAM,5921.673000826234,93359.07748676397,0.06342900080247453
NER,1594.3908820388067,22237.637448354973,0.07169785395330976
NGA,30588.505199211737,378159.7162350717,0.08088779392937058
RWA,927.9282632677257,29299.171685109355,0.03167080193394424
SDN,23363.10807124538,398151.05313553236,0.058679006088908865
SEN,6951.134818179539,79018.02937605824,0.087968972056973
SLE,1660.6858460694414,31175.925582918488,0.05326821305280967
SOM,1680.5369936584784,29356.23195837275,0.05724634537707313
SSD,429.2404553237109,4958.245223279018,0.086571041970337
SWZ,6101.706238862383,122596.47472673378,0.04977065003266219
TCD,2185.4278856689034,63353.10802732434,0.034495985338656526
TGO,1971.792280528673,30688.85658942355,0.06425108328109629
TUN,30517.620942299476,250268.39422446024,0.12193957226148537
TZA,13062.82513530273,243489.3526664859,0.05364844496176078
UGA,2032.219211963783,74341.9464981537,0.02733610441602109
ZAF,267473.3803060889,2211308.8380416287,0.12095704394822014
ZMB,8585.309434394614,236961.78129777103,0.036230776909995197
ZWE,7286.627086557402,108713.8922022498,0.06702572172654313
