Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
SDN,2020.0,BIO,950.3888896492,Biomass,Bottom-up,No
SDN,2020.0,HFO,2553.750002043,Heavy Fuel Oil,Bottom-up,No
SDN,2020.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2020.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2020.0,LFO,470.9166670434,Light Fuel Oil,Bottom-up,No
SDN,2020.0,SOL,20.8888889056,Solar,Bottom-up,No
SDN,2021.0,BIO,902.8888896112,Biomass,Bottom-up,No
SDN,2021.0,HFO,12130.3055652598,Heavy Fuel Oil,Bottom-up,No
SDN,2021.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2021.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2021.0,LFO,447.361111469,Light Fuel Oil,Bottom-up,No
SDN,2021.0,NGA,9189.444451796,Natural Gas,Bottom-up,No
SDN,2021.0,SOL,20.2222222384,Solar,Bottom-up,No
SDN,2022.0,BIO,855.3611117954,Biomass,Bottom-up,No
SDN,2022.0,HFO,11491.8888980824,Heavy Fuel Oil,Bottom-up,No
SDN,2022.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2022.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2022.0,LFO,466.7500003734,Light Fuel Oil,Bottom-up,No
SDN,2022.0,NGA,12480.3055655398,Natural Gas,Bottom-up,No
SDN,2022.0,SOL,19.555555571200003,Solar,Bottom-up,No
SDN,2023.0,BIO,807.8333339796,Biomass,Bottom-up,No
SDN,2023.0,HFO,9726.055563336402,Heavy Fuel Oil,Bottom-up,No
SDN,2023.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2023.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2023.0,LFO,448.5555559144,Light Fuel Oil,Bottom-up,No
SDN,2023.0,NGA,12480.3055655398,Natural Gas,Bottom-up,No
SDN,2023.0,SOL,18.888888904,Solar,Bottom-up,No
SDN,2024.0,BIO,760.3055561638,Biomass,Bottom-up,No
SDN,2024.0,GEO,744.6111117068001,Geothermal,Bottom-up,No
SDN,2024.0,HFO,10215.000008172,Heavy Fuel Oil,Bottom-up,No
SDN,2024.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2024.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2024.0,LFO,430.3055558998001,Light Fuel Oil,Bottom-up,No
SDN,2024.0,NGA,12480.3055655398,Natural Gas,Bottom-up,No
SDN,2024.0,SOL,18.222222236800004,Solar,Bottom-up,No
SDN,2025.0,BIO,475.19444482460005,Biomass,Bottom-up,No
SDN,2025.0,GEO,1489.1944456358,Geothermal,Bottom-up,No
SDN,2025.0,HFO,9060.7500072486,Heavy Fuel Oil,Bottom-up,No
SDN,2025.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2025.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2025.0,LFO,412.0277781074,Light Fuel Oil,Bottom-up,No
SDN,2025.0,NGA,12480.3055655398,Natural Gas,Bottom-up,No
SDN,2025.0,SOL,17.555555569600003,Solar,Bottom-up,No
SDN,2026.0,BIO,427.66666700880006,Biomass,Bottom-up,No
SDN,2026.0,GEO,2233.8055573426004,Geothermal,Bottom-up,No
SDN,2026.0,HFO,4642.3333370472,Heavy Fuel Oil,Bottom-up,No
SDN,2026.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2026.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2026.0,LFO,394.1388892042,Light Fuel Oil,Bottom-up,No
SDN,2026.0,NGA,12480.3055655398,Natural Gas,Bottom-up,No
SDN,2026.0,SOL,16.8888889024,Solar,Bottom-up,No
SDN,2027.0,BIO,380.1666669708,Biomass,Bottom-up,No
SDN,2027.0,GEO,2978.3888912716,Geothermal,Bottom-up,No
SDN,2027.0,HFO,8299.6944510842,Heavy Fuel Oil,Bottom-up,No
SDN,2027.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2027.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2027.0,LFO,306.08333357820004,Light Fuel Oil,Bottom-up,No
SDN,2027.0,NGA,14750.9166784674,Natural Gas,Bottom-up,No
SDN,2027.0,SOL,16.2222222352,Solar,Bottom-up,No
SDN,2028.0,BIO,332.638889155,Biomass,Bottom-up,No
SDN,2028.0,GEO,2978.3888912716,Geothermal,Bottom-up,No
SDN,2028.0,HFO,6900.694449965001,Heavy Fuel Oil,Bottom-up,No
SDN,2028.0,HYD,7917.1388952226,Hydropower,Bottom-up,No
SDN,2028.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2028.0,LFO,282.55555578160005,Light Fuel Oil,Bottom-up,No
SDN,2028.0,NGA,26774.3333547528,Natural Gas,Bottom-up,No
SDN,2028.0,SOL,15.555555568,Solar,Bottom-up,No
SDN,2029.0,BIO,285.1111113392,Biomass,Bottom-up,No
SDN,2029.0,GEO,2978.3888912716,Geothermal,Bottom-up,No
SDN,2029.0,HFO,3911.8611142406,Heavy Fuel Oil,Bottom-up,No
SDN,2029.0,HYD,9977.361119093,Hydropower,Bottom-up,No
SDN,2029.0,Imports (ETH),1664.3888902203998,Imports (ETH),Bottom-up,No
SDN,2029.0,LFO,259.0000002072,Light Fuel Oil,Bottom-up,No
