tech_code,tech_name,colour
SOLPRSAL5,Solar (Stand Alone5) Future electrified,pearl10
URNIMP00X,Uranium imports,polarorange
URNPRP00X,Uranium extraction,silver
WINPRP00X,Wind potential,yellow
WINONP00X,Wind (onshore),beige
WINOFP00X,Wind (offshore),burlywood
COALAGG,Coal,black
OILAGG,Oil,gray
GASAGG,Gas,orange
HYDAGG,Hydro,aqua
NUCAGG,Nuclear,polarbluelight
OREAGG,Other renewables,lightgreen
BACAGG,Backstop,coral
BIOAGG,Biofuel and Biomass production,bisque
COALPROD,Coal Production,darkgrey
CRUDPROD,Crude Oil production,coral
GASPROD,Natural gas extraction,sienna
SOLCSP,Solar CSP,lightgoldenrodyellow
SOLPV,Solar PV,yellow
WIND,Wind,navy
BIOM,Biomass,lightgreen
CO2,CO2,black
Transmission & Distribution,Transmission & Distribution,magenta
LNGEXP00X,Natural gas exports (Liquification terminal),indianred
DZAELMARBP00,Algeria - Morocco Historic EL trade link,polarorange
ESPELMARBP00,Spain - Morocco Historic EL trade link,silver
EGYELSDNBP00,Egypt - Sudan Historic and Planned EL trade link,tomato
EGYELJORBP00,Egypt - Jordan Historic EL trade link,yellow
EGYELSAUBP00,Egypt - Saudi Arabia Planned EL trade link,beige
LBYELEGYBP00,Libya - Egypt Historic EL trade link,burlywood
MARELDZABP00,Morocco - Algeria Historic EL trade link,black
TUNELDZABP00,Tunisia - Algeria Historic EL trade link,gray
DZAGAITABP00,Algeria - Italy Historic NG trade link,orange
DZAGAPRTBP00,Algeria - Portugal Historic NG trade link,aqua
DZAGAESPBP00,Algeria - Spain Historic and Planned NG trade link,polarbluelight
DZAGAMARBP00,Algeria - Morocco Historic NG trade link,lightgreen
DZAGATUNBP00,Algeria - Tunisia Historic NG trade link,blueviolet
EGYGATURBP00,Egypt - Turkey Historic and Planned NG trade link,polarorange
ISRGAEGYBP00,Israel - Egypt Planned NG trade link,silver
LBYGAITABP00,Libya - Italy Historic NG trade link,tomato
NGAGADZABP00,Nigeria - Algeria Planned NG trade link,beige
CO1R1P00X,Crude oil refinery 1,grey11
CO1R2P00X,Crude oil refinery 2,grey13
power_trade,power_trade,pinksalmon
gas_trade,gas_trade,polarpurple
BDIELRWABP00,Burundi - Rwanda EL existing trade link,indianred
CODELBDIBP00,DRC - Burundi EL existing and planned trade link,polarorange
CODELRWABP00,DRC - Rwanda EL existing and planned trade link,silver
ETHELKENBP00,Ethiopia - Kenya EL planned trade link,tomato
ETHELDJIBP00,Ethiopia - Djibouti EL existing trade link,yellow
ETHELSDNBP00,Ethiopia - Sudan EL existing trade link,beige
KENELUGABP00,Kenya - Uganda EL existing and planned trade link,burlywood
KENELTZABP00,Kenya - Tanzania EL existing and planned trade link,black
RWAELBDIBP00,Rwanda - Burundi EL existing trade link,gray
RWAELTZABP00,Rwanda - Tanzania EL planned trade link,orange
TZAELBDIBP00,Tanzania - Burundi EL planned trade link,aqua
TZAELKENBP00,Tanzania - Kenya EL planned trade link,polarbluelight
