Country
AGO
BDI
BEN
BFA
BWA
CAF
CIV
CMR
COD
COG
DJI
ERI
ETH
GAB
GHA
GIN
GMB
GNB
GNQ
KEN
LBR
LSO
MLI
MOZ
MRT
MWI
NAM
NER
NGA
RWA
SDN
SEN
SLE
SSD
SWZ
TCD
TGO
TZA
UGA
ZAF
ZMB
ZWE
