Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
LBY,2028.0,EGYEL1,399.72222254200005,Exports (EGY),Top-down low,No
LBY,2029.0,EGYEL1,1231.9722232078002,Exports (EGY),Top-down low,No
LBY,2030.0,EGYEL1,399.72222254200005,Exports (EGY),Top-down low,No
LBY,2020.0,EL3E,19157.416681992603,Current electrified,Top-down low,High
LBY,2021.0,EL3E,21895.6666841832,Current electrified,Top-down low,High
LBY,2022.0,EL3E,24611.2777974668,Current electrified,Top-down low,High
LBY,2023.0,EL3E,27308.1111329576,Current electrified,Top-down low,High
LBY,2024.0,EL3E,29990.361135103405,Current electrified,Top-down low,High
LBY,2025.0,EL3E,31588.333358604003,Current electrified,Top-down low,High
LBY,2026.0,EL3E,33177.500026542,Current electrified,Top-down low,High
LBY,2027.0,EL3E,34757.444472250405,Current electrified,Top-down low,High
LBY,2028.0,EL3E,36329.0833623966,Current electrified,Top-down low,High
LBY,2029.0,EL3E,37893.8333636484,Current electrified,Top-down low,High
LBY,2030.0,EL3E,39540.5278094102,Current electrified,Top-down low,High
LBY,2021.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2025.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2026.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2027.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2028.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2029.0,EGYEL1,1414.7500011318,Exports (EGY),Top-down low,High
LBY,2030.0,EGYEL1,211.3333335024,Exports (EGY),Top-down low,High
