,CountryCode,Country,GridDemand2025,GridDemand2030
0,ao,Angola,36.565,44.377
1,bj,Benin,6.927,8.174
2,bf,Burkina faso,4.91,6.103
3,bi,Burundi,4.752,6.082
4,bw,Botswana,10.989,12.435
5,cd,Democratic Republic of Congo,35.569,43.905
6,cf,Central african republic,2.28,2.7
7,cg,Republic of Congo,8.088,9.607
8,ci,Ivory Coast,25.323,29.493
9,dj,Djibouti,1.254,1.358
10,er,Eritrea,1.477,2.109
11,et,Ethiopia,63.776,75.263
12,ga,Gabon,5.545,6.064
13,gh,Ghana,50.837,57.646
14,gm,Gambia,0.68,0.779
15,gn,Guinea,5.743,6.964
16,gq,Equatorial Guinea,2.072,2.456
17,gw,Guinea Bissau,0.454,0.535
18,ke,Kenya,63.852,74.352
19,lr,Liberia,4.781,5.681
20,ls,Lesotho,2.515,2.939
21,mg,Madagascar,12.923,15.564
22,ml,Mali,6.167,7.46
23,mr,Mauritania,2.606,3.157
24,mw,Malawi,14.323,18.148
25,mz,Mozambique,23.128,28.913
26,na,Namibia,5.386,6.555
27,ne,Niger,6.983,8.869
28,ng,Nigeria,306.965,368.378
29,ni,Nicaraqua,8.431,8.695
30,rw,Rwanda,3.864,4.384
31,sd,Sudan,30.312,35.375
32,sl,Sierra Leone,1.989,2.312
33,sn,Senegal,10.444,12.455
34,ss,South Sudan,0.367,0.493
35,sz,Kingdom of Eswatini,1.98,2.423
36,td,Chad,3.217,3.941
37,tg,Togo,10.584,12.562
38,ug,Uganda,37.163,47.586
39,za,South Africa,146.384,156.652
40,zm,Zambia,19.043,23.518
41,zw,Zimbabwe,17.126,21.178
