,CountryCode,Country,GridDemand2025,GridDemand2030
0,ao,Angola,21.978,26.627
1,bj,Benin,9.24,11.005
2,bf,Burkina faso,8.808,11.025
3,bi,Burundi,2.508,3.198
4,bw,Botswana,4.21,4.734
5,cd,Democratic Republic of Congo,7.394,9.117
6,cf,Central african republic,1.314,1.564
7,cg,Republic of Congo,6.561,7.804
8,ci,Ivory Coast,21.267,24.681
9,dj,Djibouti,0.675,0.73
10,er,Eritrea,1.987,2.846
11,et,Ethiopia,14.314,17.134
12,ga,Gabon,2.949,3.222
13,gh,Ghana,52.657,59.055
14,gm,Gambia,1.326,1.533
15,gn,Guinea,4.961,6.053
16,gq,Equatorial Guinea,0.799,0.943
17,gw,Guinea Bissau,1.009,1.188
18,ke,Kenya,41.198,47.165
19,lr,Liberia,4.22,5.012
20,ls,Lesotho,1.5,1.727
21,mg,Madagascar,10.839,13.027
22,ml,Mali,8.359,10.311
23,mr,Mauritania,2.187,2.641
24,mw,Malawi,9.132,11.457
25,mz,Mozambique,11.019,13.771
26,na,Namibia,3.122,3.791
27,ne,Niger,3.466,4.395
28,ng,Nigeria,77.376,92.548
29,ni,Nicaraqua,5.622,5.798
30,rw,Rwanda,4.581,5.265
31,sd,Sudan,20.462,23.316
32,sl,Sierra Leone,4.728,5.505
33,sn,Senegal,7.942,9.456
34,ss,South Sudan,0.196,0.265
35,sz,Kingdom of Eswatini,2.126,2.579
36,td,Chad,2.344,2.868
37,tg,Togo,8.848,10.455
38,ug,Uganda,16.857,21.448
39,za,South Africa,105.494,112.936
40,zm,Zambia,8.626,10.623
41,zw,Zimbabwe,12.524,15.427
