Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,5775.0616442839655,206534.04851809997,0.02796178976648423
BDI,368.6800353361665,10468.532846143573,0.035217927932659814
BEN,2280.7876612639734,41928.45457559431,0.05439713159834832
BFA,2985.4937963877123,35258.52313621001,0.08467438595922505
BWA,3011.7633565387846,57791.56145419452,0.05211424091605316
CAF,301.11742174718876,5064.775930070884,0.05945325635422029
CIV,9285.542794239162,173932.78507684957,0.05338581101967915
CMR,5810.2290847657605,123248.58776645087,0.04714235830252122
COD,4429.043795558527,155621.37277573103,0.028460382507621926
COG,1936.3001528483937,34083.82566044822,0.05680994182220947
DJI,377.2144438919731,7582.611905142554,0.04974729665857551
DZA,60807.35258179249,975962.816231339,0.062304989053372825
EGY,165742.85087353474,2695151.846799023,0.061496665232567194
ERI,395.5051343511159,7255.975421930863,0.054507507447685004
ETH,8624.04942640168,390081.1016560799,0.022108349750317273
GAB,1855.1680144653305,39563.96599983721,0.0468903449788872
GHA,13054.78915235653,258067.56757816524,0.050586709809640876
GIN,1725.4350337912142,54856.48859887175,0.03145361793767277
GMB,233.87821190213572,4111.842137240228,0.056879180692260056
GNB,153.87400298810843,2140.5771680049857,0.07188435216821393
GNQ,1114.968059540433,28523.86338493658,0.03908895665687581
KEN,10618.198290425826,320956.3166457303,0.033083001454512984
LBR,747.9796394596707,15430.340071135912,0.048474604967316696
LBY,23581.584021035975,317038.4937666217,0.07438082278549697
LSO,1006.8241995289134,20005.22477798101,0.050328062328851536
MAR,40735.34401416888,626024.8231304163,0.06506985427586265
MLI,6934.935019626508,103485.6728079525,0.06701347956152615
MOZ,9847.934528682148,216772.8283260404,0.04542974599136666
MRT,1974.2851809416352,31827.27973400763,0.06203122596217673
MWI,3202.1144266101423,57060.93952261609,0.05611745010509308
NAM,4573.422205842364,90121.21914281999,0.05074745159177899
NER,1553.2158568801285,31166.376332865402,0.04983626714544416
NGA,39610.23532356428,777915.1673495078,0.05091845099064367
RWA,935.3624973238192,21286.36266581001,0.043941866067432514
SDN,14040.706281908404,281218.1572091882,0.049928164031969036
SEN,4710.186039093426,83293.72139475809,0.05654911270887041
SLE,791.8099873892752,18745.405870991388,0.04224021570077633
SOM,1717.0858595884038,29557.859727735642,0.05809236106419352
SSD,300.66486828820575,5241.488668813626,0.057362495139431285
SWZ,1945.024558824791,40040.99086506095,0.048575834833347854
TCD,711.8243504206282,28602.48358637078,0.024886802164264362
TGO,1747.3450785477135,32268.43271205913,0.054150292768781055
TUN,16929.64742699035,253809.39568084077,0.06670220927628295
TZA,10123.977912963563,228510.93181628536,0.04430412948953742
UGA,3539.828131677118,100381.48635869268,0.03526375490225625
ZAF,94573.44129035549,2383018.404859045,0.03968640825329651
ZMB,7062.146028561312,196928.98257290258,0.0358613848316965
ZWE,4836.643583756179,135133.89381843334,0.03579149129125755
