Country,NewCapacity,CapitalInvestment,AvgCapacityCost
AGO,3.7849283700305665,7623.789443527561,2014.2493326672898
BDI,0.3043786057802767,960.6879798490643,3156.2270199192676
BEN,0.3721110625676053,881.0169637540043,2367.6183064133998
BFA,0.7277159084256395,2055.0436126736054,2823.9641168756953
BWA,2.7238760992250146,4175.919786640449,1533.079932610945
CAF,0.2216591393755361,524.1512469013923,2364.6723901303812
CIV,4.418016682736403,8853.912616964579,2004.046895422925
CMR,1.4089460685267492,1286.8203275835099,913.3212096109975
COD,2.266240144985463,4926.95422657222,2174.0653732015785
COG,0.6695894589343845,799.7658329851695,1194.4122212705583
DJI,0.1812271473463813,665.5999118271418,3672.7384477060377
DZA,20.31992160469208,40867.381575755695,2011.1977974520823
EGY,56.146288783568664,123608.56483763804,2201.544706082379
ERI,0.2562853503276204,798.124308177935,3114.20183462558
ETH,11.76706525193807,32743.913956791654,2782.6746309066857
GAB,1.0818555979224027,2544.7498350210217,2352.2084092442315
GHA,5.638686448385035,12672.877612332453,2247.487553765659
GIN,1.3348960829354177,3763.353999520485,2819.211208744371
GMB,0.1212097216379759,342.14283432504726,2822.7342634029396
GNB,0.1133338232153317,327.25842800737627,2887.5618833187395
GNQ,1.2045912653528006,1759.2807824223123,1460.4794447908057
KEN,7.42002027916624,22680.198171355183,3056.6221274402865
LBR,0.47296761936762277,1310.6584117598563,2771.137722942346
LBY,7.727163346862988,13707.972798624654,1773.9980615512297
LSO,1.7168111768037086,2815.106576162415,1639.7298748971739
MAR,20.11647682570568,43035.65039007754,2139.3234393353005
MLI,2.5573639144999474,6132.828711737865,2398.1055949704537
MOZ,5.018558977688763,5976.582208008869,1190.8960788503698
MRT,1.0808975059895105,2020.7755175106183,1869.5348137200983
MWI,1.2998678788952565,2202.7151714211122,1694.5685074495232
NAM,5.186815113306862,7789.625394908597,1501.8128128230715
NER,1.0629085043633768,2340.8254889011655,2202.283149764796
NGA,25.042873600291163,49624.5376114689,1981.5832002159661
RWA,1.0946096791253301,2145.646725536039,1960.1934520171255
SDN,8.755180879246556,14435.892556899107,1648.8400132449824
SEN,2.053242653955003,5107.979890525101,2487.76240873722
SLE,1.2675531360305636,3473.111428160908,2740.0124929178223
SOM,2.0614440634056317,3773.936776701402,1830.724802916373
SSD,0.1436962976347158,346.9841372034105,2414.704783038071
SWZ,1.8341681212474779,3620.331156677634,1973.827325171985
TCD,2.855440414743911,3742.618766094454,1310.6975536136722
TGO,1.0844431928898663,2316.224757209307,2135.865458325153
TUN,9.224478732382511,17741.027923398262,1923.255333780371
TZA,6.712820050197585,16528.625444081477,2462.2476575392443
UGA,2.172750890957063,3417.0763480843148,1572.6958678540207
ZAF,21.551168526112047,44353.53934393632,2058.057283074754
ZMB,3.0229118288744585,6448.428264383778,2133.184369715727
ZWE,2.066578907189889,4498.492461121134,2176.782336
