Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,6461.840229102906,187004.23165266967,0.03455451340323002
BDI,259.6806488038135,7056.326935778396,0.03680110788052193
BEN,2001.0011388580697,35889.540760736,0.055754436987591985
BFA,3836.377681997477,31293.429092629136,0.12259371354419892
BWA,6679.167210748266,52074.72006664396,0.12826122161003325
CAF,221.3728193134296,2817.148091383692,0.07858046937273305
CIV,10103.438322211083,146497.10017905742,0.06896681442746691
CMR,5305.116445262076,94939.3373238815,0.055879012797023196
COD,3255.391340877963,136970.42576035118,0.023767111205259178
COG,2289.3841272111526,24567.397392563464,0.09318789819812773
DJI,656.8489992794443,6880.471858399365,0.09546569084176881
DZA,128489.25760126456,992838.2899760299,0.12941609816878302
EGY,307782.34127233,2692185.220757779,0.11432435587982963
ERI,780.0619738171873,5149.672437588254,0.15147797908919305
ETH,7712.85257588399,332041.9517416525,0.023228548487406273
GAB,2551.0690582466173,37394.08364002671,0.06822119463614687
GHA,15609.50234288132,204685.37310828015,0.07626095653949719
GIN,2448.630236960057,57644.204429582904,0.04247834211939309
GMB,528.8758445889711,10376.432307726733,0.05096894856579439
GNB,248.5601298387372,1762.907979278419,0.1409943869789937
GNQ,1915.1245231972414,27517.3746659381,0.06959691999861617
KEN,9293.378412197613,252450.5326242561,0.03681267104328019
LBR,1295.6126894790757,26042.95351778368,0.049749068921631875
LBY,47927.81726570827,312772.87093108526,0.15323521225812592
LSO,1144.217650682521,17805.935711247857,0.06426046174926536
MAR,81159.80553492211,625985.2123338467,0.1296513143374998
MLI,9334.626722014249,99112.20948344111,0.09418240972192034
MOZ,17527.04257535781,368011.1082063581,0.04762639546611108
MRT,2812.8599779467713,24630.82715612162,0.11420079236956025
MWI,1736.231464403246,46859.576384706656,0.0370517959904113
NAM,5964.535433084664,91297.50966532735,0.06533075715809863
NER,1578.6923774737734,21152.631668510414,0.07463337906195132
NGA,44157.27755279726,596977.5363637902,0.0739680722691187
RWA,981.2496230715997,28012.073211484083,0.035029525150224075
SDN,23196.303840145127,394023.6775095054,0.05887032979023333
SEN,6406.9715913984855,67598.37147441374,0.09477996957106505
SLE,1252.8795683986054,22431.547507097348,0.05585346120245133
SOM,885.4594437051717,12062.161871866769,0.0734080219707859
SSD,422.9624843709257,4845.39873031605,0.08729157452504166
SWZ,6002.996647109633,120762.16118821719,0.04970925154074957
TCD,1119.8335585967766,20999.86016013413,0.053325762650679676
TGO,1200.7961602807695,21083.462623136642,0.05695440932757581
TUN,31289.615304537896,252056.97941953302,0.12413707161212266
TZA,9196.665919608735,161382.16223882,0.05698688003695928
UGA,1763.5208586595586,67207.9603077169,0.026239761638132453
ZAF,261844.69785894788,2118016.268452752,0.12362733079960242
ZMB,9079.226904833196,238943.67113957054,0.037997352520502146
ZWE,7228.583496686548,106136.47546764956,0.06810649651626903
