Country,NewCapacity,CapitalInvestment,AvgCapacityCost
AGO,4.248872626284088,11445.029623061986,2693.662679427366
BDI,0.16094420806350201,562.4184248760334,3494.4931019457754
BEN,0.8548831877238593,2390.964046119631,2796.831286957008
BFA,0.7197248921499111,2095.889437421344,2912.070237227244
BWA,1.3602355697407593,2638.093093397456,1939.4383973507158
CAF,0.1495938225406662,381.8027981438052,2552.263132657195
CIV,4.119025519990432,10958.603668823414,2660.4845285952174
CMR,2.2859568067889855,6105.845885943006,2671.024171502043
COD,2.7996116998874108,7921.134301430504,2829.3689091773194
COG,0.7519312333794843,2143.953270043677,2851.262422506218
DJI,0.03,123.872519808,4129.0839936
DZA,17.985797865027617,49274.20027828311,2739.617149489601
EGY,61.10000875,140957.99326264433,2307.0044693347827
ERI,0.1751079533679147,479.3429046261707,2737.413666294391
ETH,9.200000000000001,27568.200016512,2996.543480055652
GAB,1.2896174440863444,3380.428995976634,2621.264942931636
GHA,6.175439278559677,15814.754233363974,2560.9116242581717
GIN,1.9746393265066726,5591.117601758381,2831.462701418799
GMB,0.6303568145641366,1798.6405902230858,2853.3689946173818
GNB,0.0804183372806559,239.94344976871523,2983.690758630396
GNQ,1.2180871904332107,1865.2869917865862,1531.3246920552542
KEN,4.194219886524113,10529.999107574533,2510.5977732371794
LBR,1.1082919449863553,3130.336777920147,2824.4694839487315
LBY,10.660729140869526,20360.894356503733,1909.8969767881213
LSO,1.5728850052874643,3097.6176465992685,1969.3859603125534
MAR,21.262913226710342,52781.75564881114,2482.338853855031
MLI,3.1291965887322246,7224.202183928453,2308.64440091164
MOZ,10.300234220833362,28029.307775218644,2721.230136546436
MRT,0.9611068716023523,2542.5184339821576,2645.406571428716
MWI,1.9828,4921.2294363648,2481.959570488602
NAM,3.8889648583482637,9069.187616076168,2332.031259322839
NER,1.1448533595690464,2818.8697316201806,2462.2102979907218
NGA,25.011781642429664,63698.55083499191,2546.7418413302676
RWA,0.4387313086849396,1546.8292986682077,3525.687061870964
SDN,20.614623511898717,51332.01798334394,2490.077878633835
SEN,1.4183049938364782,3647.7765497922214,2571.9267475221113
SLE,1.2220282714900266,3389.2442333022186,2773.458120710818
SOM,0.7995910624480136,1774.2340762825963,2218.926848495071
SSD,0.1676560096624157,456.3046754656902,2721.672049719446
SWZ,4.7965621354158605,12201.010955553933,2543.6991351507027
TCD,1.1212680077564665,1632.1502031392165,1455.628977058722
TGO,1.244536524891819,2707.5183662766685,2175.523427496046
TUN,11.508317800940205,24253.242547639387,2107.4533191686755
TZA,3.8099644470526184,10239.669459023844,2687.6023651468017
UGA,0.4833100495123041,1910.2777005545822,3952.4890957309804
ZAF,53.076101292146404,134344.72145838744,2531.1716231551136
ZMB,6.402746842827126,16802.606252070134,2624.2809007658598
ZWE,2.22,5061.512052555795,2279.9603840341415
