Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,283530.8613379358,30.877404373052606,108.90315159114313
BDI,11152.083342255,0.46096946191658783,41.33482935605266
BEN,55256.277821982796,7.811763955470407,141.37332921043455
BFA,44379.722257726,12.209250341855574,275.108759603156
BWA,77519.2222842376,43.85805203470834,565.7700211941655
CAF,4352.222225704,0.8474316886111112,194.71241234103886
CIV,214827.1668385284,38.41297516774136,178.80874068694436
CMR,141731.55566894083,24.38272296020014,172.03453983919965
COD,206277.50016502198,4.7526904373420304,23.04027551982101
COG,35669.833361869205,12.849711697575138,360.2403063455684
DJI,10313.750008251,3.7495778601088516,363.5513617364382
DZA,1478287.8345159637,924.0630950362009,625.0901031995351
EGY,4053918.392132024,1909.803312587294,471.1005816727594
ERI,7649.500006119601,5.750355280555556,751.7295608804851
ETH,502862.86151340144,3.0284727852777777,6.022462617667517
GAB,55238.277821968404,13.958855388888889,252.7025812404567
GHA,305838.25024467066,81.95253443860626,267.9603822381413
GIN,86407.222291348,10.759586926598853,124.52184714744863
GMB,17432.361125057,2.1790417869089698,124.99980761509407
GNB,2566.5555576088,1.2172064022202373,474.25679082290355
GNQ,41443.833366488405,10.144989555555554,244.78888006915935
KEN,377427.02807971934,20.128601167806707,53.33110686380199
LBR,40571.0000324568,5.584551022365947,137.64883828099642
LBY,466805.0559289996,333.3014790317289,714.0057178010162
LSO,27871.4444667416,2.446362922309993,87.77309425886361
MAR,949583.472981889,439.6101288866167,462.95048449627046
MLI,147195.1112288672,29.719924193695114,201.90836465679155
MOZ,541292.9726552566,55.323779454678395,102.20672029657678
MRT,36284.250029027404,14.202891450820838,391.4340640762458
MWI,74257.5833927394,3.2520676549251237,43.79441810980207
NAM,142484.75011398777,19.504986759999447,136.89174977950594
NER,31968.111136685602,5.2210031084654105,163.31909902784187
NGA,929145.6118544276,204.44116235828713,220.03134896182195
RWA,42280.1667004908,2.165640100225929,51.22118168471625
SDN,629301.3616145523,81.72699565484204,129.8694085853574
SEN,101941.6945259978,37.26830945385097,365.5845591653038
SLE,35323.5555838144,5.695181474229047,161.22899804680577
SOM,18898.777792896803,2.9653314972222224,156.9059930603955
SSD,7157.8611168374,2.0560531388888887,287.2440670932334
SWZ,181388.0279228882,16.232192121799766,89.48877336436122
TCD,33038.333359764,5.323804844444445,161.14023629678863
TGO,32150.972247943,3.1991161308732714,99.502935905086
TUN,384913.9725301534,178.37515547154632,463.41564141990915
TZA,245306.7501962454,34.66475167626244,141.31185402982445
UGA,100268.97230243741,3.852669287579368,38.423344720824616
ZAF,3082134.669132374,1828.254183102864,593.1779040717648
ZMB,354614.41695035825,20.3987640789163,57.52378669300374
ZWE,157270.72234803883,41.33810534124476,262.8467951572313
