r,t,f,y,UseByTechnologyAnnual
REGION,AGOCO1RCP00X,AGOCO1,2028.0,296.7865
REGION,AGOCO1RCP00X,AGOCO1,2029.0,298.9053
REGION,AGOCO1RCP00X,AGOCO1,2030.0,300.6622
REGION,AGOCO1RCP00X,AGOCO1,2031.0,299.8043
REGION,AGOCO1RCP00X,AGOCO1,2032.0,298.8827
REGION,AGOCO1RCP00X,AGOCO1,2033.0,297.8977
REGION,AGOCO1RCP00X,AGOCO1,2034.0,296.8506
REGION,AGOCO1RCP00X,AGOCO1,2035.0,295.7433
REGION,AGOCO1RCP00X,AGOCO1,2036.0,297.1055
REGION,AGOCO1RCP00X,AGOCO1,2037.0,298.41
REGION,AGOCO1RCP00X,AGOCO1,2038.0,299.822
REGION,AGOCO1RCP00X,AGOCO1,2039.0,301.2426
REGION,AGOCO1RCP00X,AGOCO1,2040.0,302.1426
REGION,AGOCOADIP00X,AGOCOA,2040.0,0.0
REGION,AGOCOASCC01N,AGOCOA,2040.0,0.0
REGION,AGOCOASCP01N,AGOCOA,2040.0,0.0
REGION,AGOCOASCP01O,AGOCOA,2040.0,0.0
REGION,AGOEL1TRP00X,AGOEL1,2015.0,33.6964
REGION,AGOEL1TRP00X,AGOEL1,2016.0,36.4753
REGION,AGOEL1TRP00X,AGOEL1,2017.0,37.6337
REGION,AGOEL1TRP00X,AGOEL1,2018.0,41.0896
REGION,AGOEL1TRP00X,AGOEL1,2019.0,45.151
REGION,AGOEL1TRP00X,AGOEL1,2020.0,48.5066
REGION,AGOEL1TRP00X,AGOEL1,2021.0,52.9796
REGION,AGOEL1TRP00X,AGOEL1,2022.0,61.7976
REGION,AGOEL1TRP00X,AGOEL1,2023.0,70.7166
REGION,AGOEL1TRP00X,AGOEL1,2024.0,79.7175
REGION,AGOEL1TRP00X,AGOEL1,2025.0,88.8059
REGION,AGOEL1TRP00X,AGOEL1,2026.0,98.1613
REGION,AGOEL1TRP00X,AGOEL1,2027.0,103.9574
REGION,AGOEL1TRP00X,AGOEL1,2028.0,109.8688
REGION,AGOEL1TRP00X,AGOEL1,2029.0,115.8845
REGION,AGOEL1TRP00X,AGOEL1,2030.0,122.0094
REGION,AGOEL1TRP00X,AGOEL1,2031.0,125.704
REGION,AGOEL1TRP00X,AGOEL1,2032.0,129.5394
REGION,AGOEL1TRP00X,AGOEL1,2033.0,133.5199
REGION,AGOEL1TRP00X,AGOEL1,2034.0,137.6495
