Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,281644.4168919822,45.221176869564026,160.56124019283328
BDI,9978.055563538,0.9781397941283488,98.02909874572013
BEN,51524.6389301086,42.87111131761875,832.0506889096678
BFA,43713.8611460822,27.489246552770556,628.8450809894711
BWA,76205.38894985321,150.6690089912602,1977.1437567283806
CAF,4350.138892369,6.244576144444445,1435.4889117215685
CIV,209621.3335010304,124.11420960988607,592.0876827609533
CMR,141859.0556690428,63.391279726190234,446.8610017684179
COD,184581.6112587764,62.68014768955468,339.5795890072684
COG,37460.5278077462,24.419779511392044,651.8802841411766
DJI,10313.5277860286,4.023193912017796,390.0890166280335
DZA,1471988.195622035,954.9553205039371,648.7520235176821
EGY,4056366.41991176,2834.9244308404614,698.8827283759367
ERI,7661.4722283514,6.0400228841666666,788.3632158601927
ETH,502053.5281794206,3.1259938840405654,6.22641552859164
GAB,54777.7222660444,27.457159166666667,501.24682135034305
GHA,304030.7502432246,220.44649461012835,725.0795994608148
GIN,76433.9445055916,26.096142434020024,341.4208517278725
GMB,4771.5833371506,5.10430706106498,1069.7302552223828
GNB,2638.1666687772,1.5970605084542315,605.367555945385
GNQ,41438.5278109286,12.052375805555556,290.84951715820796
KEN,394322.5280932358,73.77899302454392,187.10316496829523
LBR,19063.805570806602,20.611786515175673,1081.199996434058
LBY,473216.22260079527,450.97498631265216,952.9998439911774
LSO,26766.527799191,33.634454950829905,1256.5864053478945
MAR,942149.9451981644,949.6085708005583,1007.9166014288999
MLI,141559.6667799144,71.35679768071142,504.07576751117415
MOZ,260142.1668747804,188.50221294929517,724.6122964756837
MRT,44396.7778132952,35.73842882777778,804.9779868726292
MWI,74909.5556154832,30.865739002970898,412.040076187439
NAM,138709.166777634,159.48893871029026,1149.8082096186802
NER,35724.583361913,34.65460531863543,970.0492506116027
NGA,954672.4729859603,1048.7528170858245,1098.5472471051837
RWA,35615.27780627,6.151676568421237,172.72577801816968
SDN,399799.4725420618,272.45877924075677,681.4885910388291
SEN,106886.11119662,102.37356886367816,957.7817708734777
SLE,18491.7500147934,14.246522170584429,770.4258471581766
SOM,19192.888904243202,10.096006194444445,526.0284809032787
SSD,7157.7222279484,3.5101014166666666,490.39363429904404
SWZ,55311.805599805004,112.56178473401768,2035.0408653883198
TCD,29885.194468352598,3.317826777777778,111.0190794070704
TGO,32176.861136852604,36.52687696339179,1135.1908070845686
TUN,399542.8614307454,327.0448949869503,818.5477117919637
TZA,257824.02798403703,101.66722374429892,394.3279629103986
UGA,98369.77785647359,11.329077002997533,115.16826864778754
ZAF,3213057.7525704466,6722.638305775299,2092.2867945330854
ZMB,262689.6390990406,159.73144945113665,608.0614751269801
ZWE,161858.8334628204,257.3508305307576,1589.9708716847517
