r,t,y,NewCapacity
REGION,AGOCO1EXP00X,2024,99999.0
REGION,AGOCO1EXP00X,2025,99999.0
REGION,AGOCO1EXP00X,2026,99999.0
REGION,AGOCO1EXP00X,2027,99999.0
REGION,AGOCO1EXP00X,2028,99999.0
REGION,AGOCO1EXP00X,2029,99999.0
REGION,AGOCO1EXP00X,2030,99999.0
REGION,AGOCO1EXP00X,2031,99999.0
REGION,AGOCO1EXP00X,2032,99999.0
REGION,AGOCO1EXP00X,2033,99999.0
REGION,AGOCO1EXP00X,2034,99999.0
REGION,AGOCO1EXP00X,2035,99999.0
REGION,AGOCO1EXP00X,2036,99999.0
REGION,AGOCO1EXP00X,2037,99999.0
REGION,AGOCO1EXP00X,2038,99999.0
REGION,AGOCO1EXP00X,2039,99999.0
REGION,AGOCO1EXP00X,2040,99999.0
REGION,AGOCO1IMP00X,2015,99999.0
REGION,AGOCO1IMP00X,2016,99999.0
REGION,AGOCO1IMP00X,2017,99999.0
REGION,AGOCO1IMP00X,2018,99999.0
REGION,AGOCO1IMP00X,2019,99999.0
REGION,AGOCO1IMP00X,2020,99999.0
REGION,AGOCO1IMP00X,2021,99999.0
REGION,AGOCO1IMP00X,2022,99999.0
REGION,AGOCO1IMP00X,2023,99999.0
REGION,AGOCO1IMP00X,2024,99999.0
REGION,AGOCO1IMP00X,2025,99999.0
REGION,AGOCO1IMP00X,2026,99999.0
REGION,AGOCO1IMP00X,2027,99999.0
REGION,AGOCO1IMP00X,2028,99999.0
REGION,AGOCO1IMP00X,2029,99999.0
REGION,AGOCO1IMP00X,2030,99999.0
REGION,AGOCO1IMP00X,2031,99999.0
REGION,AGOCO1IMP00X,2032,99999.0
REGION,AGOCO1IMP00X,2033,99999.0
REGION,AGOCO1IMP00X,2034,99999.0
REGION,AGOCO1IMP00X,2035,99999.0
REGION,AGOCO1IMP00X,2036,99999.0
REGION,AGOCO1IMP00X,2037,99999.0
REGION,AGOCO1IMP00X,2038,99999.0
REGION,AGOCO1IMP00X,2039,99999.0
REGION,AGOCO1IMP00X,2040,99999.0
REGION,AGOCO1PRP00X,2015,99999.0
REGION,AGOCO1PRP00X,2016,99999.0
REGION,AGOCO1PRP00X,2017,99999.0
REGION,AGOCO1PRP00X,2018,99999.0
REGION,AGOCO1PRP00X,2019,99999.0
REGION,AGOCO1PRP00X,2020,99999.0
REGION,AGOCO1PRP00X,2021,99999.0
REGION,AGOCO1PRP00X,2022,99999.0
REGION,AGOCO1PRP00X,2023,99999.0
REGION,AGOCO1PRP00X,2024,99999.0
REGION,AGOCO1PRP00X,2025,99999.0
REGION,AGOCO1PRP00X,2026,99999.0
REGION,AGOCO1PRP00X,2027,99999.0
REGION,AGOCO1PRP00X,2028,99999.0
REGION,AGOCO1PRP00X,2029,99999.0
REGION,AGOCO1PRP00X,2030,99999.0
REGION,AGOCO1PRP00X,2031,99999.0
REGION,AGOCO1PRP00X,2032,99999.0
REGION,AGOCO1PRP00X,2033,99999.0
REGION,AGOCO1PRP00X,2034,99999.0
REGION,AGOCO1PRP00X,2035,99999.0
REGION,AGOCO1PRP00X,2036,99999.0
REGION,AGOCO1PRP00X,2037,99999.0
REGION,AGOCO1PRP00X,2038,99999.0
REGION,AGOCO1PRP00X,2039,99999.0
REGION,AGOCO1PRP00X,2040,99999.0
REGION,AGOCO1R1P00X,2015,737.0856938607446
REGION,AGOCO1R1P00X,2027,279.5833048392278
REGION,AGOCO1R1P00X,2028,131.46302049907752
REGION,AGOCO1R1P00X,2029,684.1931478121829
REGION,AGOCO1R1P00X,2030,16.99388215772524
REGION,AGOCO1R1P00X,2040,0.0
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2020,599.3577288997424
REGION,AGOCO1RCP00X,2026,1223.6984906296916
REGION,AGOCO1RCP00X,2040,44.942820035174464
REGION,AGOCOADIP00X,2015,99999.0
REGION,AGOCOADIP00X,2016,99999.0
REGION,AGOCOADIP00X,2017,99999.0
REGION,AGOCOADIP00X,2018,99999.0
REGION,AGOCOADIP00X,2019,99999.0
REGION,AGOCOADIP00X,2020,99999.0
REGION,AGOCOADIP00X,2021,99999.0
REGION,AGOCOADIP00X,2022,99999.0
REGION,AGOCOADIP00X,2023,99999.0
REGION,AGOCOADIP00X,2024,99999.0
REGION,AGOCOADIP00X,2025,99999.0
REGION,AGOCOADIP00X,2026,99999.0
REGION,AGOCOADIP00X,2027,99999.0
REGION,AGOCOADIP00X,2028,99999.0
REGION,AGOCOADIP00X,2029,99999.0
REGION,AGOCOADIP00X,2030,99999.0
REGION,AGOCOADIP00X,2031,99999.0
REGION,AGOCOADIP00X,2032,99999.0
REGION,AGOCOADIP00X,2033,99999.0
REGION,AGOCOADIP00X,2034,99999.0
REGION,AGOCOADIP00X,2035,99999.0
REGION,AGOCOADIP00X,2036,99999.0
REGION,AGOCOADIP00X,2037,99999.0
REGION,AGOCOADIP00X,2038,99999.0
REGION,AGOCOADIP00X,2039,99999.0
REGION,AGOCOADIP00X,2040,99999.0
REGION,AGOCOAIMP00X,2015,99999.0
REGION,AGOCOAIMP00X,2016,99999.0
REGION,AGOCOAIMP00X,2017,99999.0
REGION,AGOCOAIMP00X,2018,99999.0
REGION,AGOCOAIMP00X,2019,99999.0
REGION,AGOCOAIMP00X,2020,99999.0
REGION,AGOCOAIMP00X,2021,99999.0
REGION,AGOCOAIMP00X,2022,99999.0
REGION,AGOCOAIMP00X,2023,99999.0
REGION,AGOCOAIMP00X,2024,99999.0
REGION,AGOCOAIMP00X,2025,99999.0
REGION,AGOCOAIMP00X,2026,99999.0
REGION,AGOCOAIMP00X,2027,99999.0
REGION,AGOCOAIMP00X,2028,99999.0
REGION,AGOCOAIMP00X,2029,99999.0
REGION,AGOCOAIMP00X,2030,99999.0
REGION,AGOCOAIMP00X,2031,99999.0
REGION,AGOCOAIMP00X,2032,99999.0
REGION,AGOCOAIMP00X,2033,99999.0
REGION,AGOCOAIMP00X,2034,99999.0
REGION,AGOCOAIMP00X,2035,99999.0
REGION,AGOCOAIMP00X,2036,99999.0
REGION,AGOCOAIMP00X,2037,99999.0
REGION,AGOCOAIMP00X,2038,99999.0
REGION,AGOCOAIMP00X,2039,99999.0
REGION,AGOCOAIMP00X,2040,99999.0
REGION,AGOCOAPRP00X,2015,99999.0
REGION,AGOCOAPRP00X,2016,99999.0
REGION,AGOCOAPRP00X,2017,99999.0
REGION,AGOCOAPRP00X,2018,99999.0
REGION,AGOCOAPRP00X,2019,99999.0
REGION,AGOCOAPRP00X,2020,99999.0
REGION,AGOCOAPRP00X,2021,99999.0
REGION,AGOCOAPRP00X,2022,99999.0
REGION,AGOCOAPRP00X,2023,99999.0
REGION,AGOCOAPRP00X,2024,99999.0
REGION,AGOCOAPRP00X,2025,99999.0
REGION,AGOCOAPRP00X,2026,99999.0
REGION,AGOCOAPRP00X,2027,99999.0
REGION,AGOCOAPRP00X,2028,99999.0
REGION,AGOCOAPRP00X,2029,99999.0
REGION,AGOCOAPRP00X,2030,99999.0
REGION,AGOCOAPRP00X,2031,99999.0
REGION,AGOCOAPRP00X,2032,99999.0
REGION,AGOCOAPRP00X,2033,99999.0
REGION,AGOCOAPRP00X,2034,99999.0
REGION,AGOCOAPRP00X,2035,99999.0
REGION,AGOCOAPRP00X,2036,99999.0
REGION,AGOCOAPRP00X,2037,99999.0
REGION,AGOCOAPRP00X,2038,99999.0
REGION,AGOCOAPRP00X,2039,99999.0
REGION,AGOCOAPRP00X,2040,99999.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2016,0.0706103130422806
REGION,AGOEL1TRP00X,2017,0.04169081888536352
REGION,AGOEL1TRP00X,2018,0.12400244323723264
REGION,AGOEL1TRP00X,2019,0.14572983747472162
REGION,AGOEL1TRP00X,2020,0.11998613913814354
REGION,AGOEL1TRP00X,2021,0.16719555003853104
REGION,AGOEL1TRP00X,2022,0.31123371059393573
REGION,AGOEL1TRP00X,2023,0.3210001751745852
REGION,AGOEL1TRP00X,2024,0.3239889342052505
REGION,AGOEL1TRP00X,2025,0.3271369153914438
REGION,AGOEL1TRP00X,2026,0.3411923071951382
REGION,AGOEL1TRP00X,2027,0.2086561301286704
REGION,AGOEL1TRP00X,2028,0.21453712912711786
REGION,AGOEL1TRP00X,2029,0.2165538716209126
REGION,AGOEL1TRP00X,2030,0.22048692216321347
REGION,AGOEL1TRP00X,2031,0.06864655737715619
REGION,AGOEL1TRP00X,2032,0.0720189805909559
REGION,AGOEL1TRP00X,2033,0.07555737734541967
REGION,AGOEL1TRP00X,2034,0.07926992928864346
REGION,AGOEL1TRP00X,2035,0.17947194459464644
REGION,AGOEL1TRP00X,2036,0.24359817817905233
REGION,AGOEL1TRP00X,2037,0.25114495327320757
REGION,AGOEL1TRP00X,2038,0.2588909632221483
REGION,AGOEL1TRP00X,2039,0.2668709834028374
REGION,AGOEL1TRP00X,2040,0.27511109384019544
REGION,AGOEL2DIP00X,2016,0.06708429739016653
REGION,AGOEL2DIP00X,2017,0.039606277941096585
REGION,AGOEL2DIP00X,2018,0.11780232107537116
REGION,AGOEL2DIP00X,2019,0.13844334560098404
REGION,AGOEL2DIP00X,2020,0.11398683218123636
REGION,AGOEL2DIP00X,2022,0.08345252151522599
REGION,AGOEL2DIP00X,2023,0.12059569320258431
REGION,AGOEL2DIP00X,2024,0.12421054391663044
REGION,AGOEL2DIP00X,2025,0.12797177228342177
REGION,AGOEL2DIP00X,2026,0.14209019825597766
REGION,AGOEL2DIP00X,2027,0.14131265288524286
REGION,AGOEL2DIP00X,2028,0.14713701235996132
REGION,AGOEL2DIP00X,2029,0.14928884566375522
REGION,AGOEL2DIP00X,2030,0.15325970143955292
REGION,AGOEL2DIP00X,2035,0.09149138648134394
REGION,AGOEL2DIP00X,2036,0.1485286176422651
REGION,AGOEL2DIP00X,2037,0.15162421898475487
REGION,AGOEL2DIP00X,2038,0.15470852412883407
REGION,AGOEL2DIP00X,2039,0.1578046792065383
REGION,AGOEL2DIP00X,2040,0.16092708133336509
REGION,AGOEL3DIP00X,2021,0.1859203484952744
REGION,AGOEL3DIP00X,2022,0.18513492759034503
REGION,AGOEL3DIP00X,2023,0.1843544732132722
REGION,AGOEL3DIP00X,2024,0.18357894357835775
REGION,AGOEL3DIP00X,2025,0.18280829733844953
REGION,AGOEL3DIP00X,2026,0.18204249357940455
REGION,AGOEL3DIP00X,2027,0.056910670736995246
REGION,AGOEL3DIP00X,2028,0.05667326031080021
REGION,AGOEL3DIP00X,2029,0.056437332376111406
REGION,AGOEL3DIP00X,2030,0.056202874615501004
REGION,AGOEL3DIP00X,2031,0.06521422950829736
REGION,AGOEL3DIP00X,2032,0.0684180315614087
REGION,AGOEL3DIP00X,2033,0.071779508478148
REGION,AGOEL3DIP00X,2034,0.07530643282421166
REGION,AGOEL3DIP00X,2035,0.07900696088356961
REGION,AGOEL3DIP00X,2036,0.08288965162783497
REGION,AGOEL3DIP00X,2037,0.08696348662479293
REGION,AGOEL3DIP00X,2038,0.0912378909322072
REGION,AGOEL3DIP00X,2039,0.09572275502615765
