Country,Total discounted costs (Million USD),Total discounted electricity (GWh),LCOE (USD/kWh)
AGO,4428.270559536459,184803.20011360524,0.02396208808513186
BDI,214.11202737950043,7346.830311273185,0.02914345619919394
BEN,3500.585608884834,57341.32563783631,0.061048215574824365
BFA,3345.97505985373,41806.774157793574,0.08003427978501367
BWA,2495.1549767383085,46988.90765258383,0.053100935973792625
CAF,227.85081396430147,3612.339656753642,0.06307568933566667
CIV,8955.067745121396,170147.77296125257,0.05263111934565677
CMR,5807.219371266311,123249.5452848522,0.047117572384099
COD,2532.219192237792,119121.24325423657,0.02125749465889438
COG,1729.8566236910192,31393.158145554145,0.05510298185580921
DJI,341.9224763181655,6598.617991225174,0.051817286100339977
DZA,60807.35258205712,975962.816231339,0.062304989053643976
EGY,165543.06298884956,2694743.8419557726,0.0614318364556324
ERI,432.3104063683514,8163.120213899571,0.05295896606205118
ETH,7489.06746958626,327088.6828115039,0.02289613754047887
GAB,1700.4233298760093,35746.023183047946,0.0475695805703615
GHA,13041.14669818463,260483.84437923259,0.05006508840985285
GIN,1714.3942073043283,54361.729645166895,0.03153678550139269
GMB,268.6089381673775,5155.4356291910035,0.05210208360404413
GNB,192.96577822506535,3279.078648615255,0.05884756021529224
GNQ,1040.0608707428162,26587.494478811386,0.03911842357209256
KEN,10017.777247448648,300693.12757805566,0.03331561758041236
LBR,723.5477918403635,14406.44150860883,0.05022390792396543
LBY,23565.86890634563,316604.5555155868,0.07443313273862685
LSO,958.6077769367648,18351.518830886303,0.052235882259695665
MAR,40622.31079386077,626024.8223368834,0.06488929726815312
MLI,7188.175093799017,106957.13170815364,0.06720613183058127
MOZ,7790.870176958603,180265.23992203444,0.043218926623503184
MRT,1949.525689861505,31387.129244548487,0.06211226502022675
MWI,2548.5001338600555,48211.57346971718,0.05286075418096089
NAM,4598.810863301233,89915.71793669961,0.05114579484911395
NER,1908.013731154326,31680.16915378655,0.06022738457904578
NGA,21359.406792477937,430835.5178749242,0.04957670829422839
RWA,896.2641164904726,24649.49321479184,0.03636034658727329
SDN,13197.267818689941,267026.34057119547,0.0494230935811789
SEN,4519.563763669883,79523.57395452361,0.05683300610023441
SLE,915.936578211426,22636.719807326637,0.04046242503363815
SOM,1717.0858595884033,29557.859727735642,0.05809236106419351
SSD,290.23304469406975,4958.155519196929,0.058536494785278274
SWZ,1915.574895418114,39160.57914222739,0.04891589801215486
TCD,683.947814482637,27460.141696620678,0.024906929543149645
TGO,1550.3237378728609,29489.808770801275,0.05257150868363317
TUN,16929.64742699035,253809.39568084077,0.06670220927628295
TZA,10103.168599222925,231069.90044926916,0.04372342992133262
UGA,1683.8255066726304,68129.64314666197,0.02471502020123424
ZAF,91024.7330769208,2298729.132082076,0.03959785074567489
ZMB,5540.193820809091,175311.99755892425,0.0316019091559719
ZWE,4147.8828043574695,120751.24014369673,0.03435064351655018
