Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,279330.7502234646,43.123995501058346,154.3832731146111
BDI,11438.4166758174,1.586870673388313,138.73167225523488
BEN,87885.5000703084,87.10208612160696,991.0859704038243
BFA,62653.2500501226,49.61417703555979,791.8851295961255
BWA,69635.7222779308,134.63300864392622,1933.389993523404
CAF,5662.0000045296,8.989977561111113,1587.7742059200161
CIV,257060.50020564842,182.05856676992192,708.2323679611417
CMR,188061.4723726714,83.62432710533872,444.66485373263936
COD,174469.0556951308,59.14523303251214,339.00127903404933
COG,46656.4722595474,30.552893738228185,654.8479183823439
DJI,9850.9444523252,3.876541536369923,393.51978433447675
DZA,1452486.5011619893,913.9113674808041,629.2047235892898
EGY,4058683.669913614,2839.2873619917164,699.5586729359837
ERI,12655.2222323464,7.3067400494444446,577.3695566379401
ETH,494273.6670620856,3.07379738307487,6.21881679706957
GAB,52527.2500420218,26.87323463888889,511.6055879070445
GHA,396267.0280947914,362.530422027077,914.863958705027
GIN,78805.8889519336,26.59480981564648,337.4723662068905
GMB,7949.1388952482,5.6083230377848405,705.5258577928936
GNB,5062.0555596052,1.8644587155632169,368.3204764565306
GNQ,39878.583365236205,8.720739194444445,218.68227149830676
KEN,459883.2781456844,104.29610334551352,226.78820540301098
LBR,22026.8889065104,20.32254787188023,922.6245230607021
LBY,472624.91704476665,451.2969951903877,954.8734713613103
LSO,28717.1944674182,32.4739410606403,1130.8187189902694
MAR,949204.584092697,934.8992587600519,984.929144283138
MLI,159000.3612383114,76.72889326078105,482.5705593572771
MOZ,271059.3891057364,203.524641618307,750.8488906795069
MRT,47036.4167042958,37.027782475,787.2152062046487
MWI,76491.25006119302,33.67986448789095,440.3100284143226
NAM,141181.389001834,165.98037405116756,1175.6533578870753
NER,49806.05559540041,57.153581507537496,1147.522742451736
NGA,656328.2227472848,766.5341156188889,1167.9127745113562
RWA,37538.444474475196,12.121354097667538,322.90507151700507
SDN,407132.8058812618,277.6996703277204,682.0862045902292
SEN,117791.3056497886,120.37409972840831,1021.9268651822125
SLE,36885.722251730804,16.048878535603645,435.09731017536404
SOM,47357.8333712196,18.992978941666667,401.0525311153512
SSD,7344.7500058758,3.531898305555555,480.8738626542818
SWZ,62822.5278280358,133.5698817285658,2126.1462463622415
TCD,49422.194483982195,3.317826075,67.13230987902232
TGO,45993.8611479062,64.88557594923253,1410.7442673833082
TUN,386689.6669760184,317.46369565619324,820.9779644199327
TZA,365414.86140344304,255.67806479490025,699.692573566717
UGA,103475.91674944741,14.584388297667122,140.94476044103283
ZAF,3353814.1415719404,7030.01092178539,2096.1241813150705
ZMB,256093.7224270972,201.06990399552518,785.1418695074192
ZWE,175411.61125144042,294.34838797386175,1678.0439212312672
