r,t,e,y,AnnualTechnologyEmission
REGION,AGOBIOCHC01N,AGOCO2,2040.0,0.0
REGION,AGOBIOCHP01N,AGOCO2,2021.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2022.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2023.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2024.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2025.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2026.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2027.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2028.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2029.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2030.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2031.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2032.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2033.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2034.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2035.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2036.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2037.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2038.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2039.0,0.0062
REGION,AGOBIOCHP01N,AGOCO2,2040.0,0.0062
REGION,AGOBIOCHP01O,AGOCO2,2040.0,0.0
REGION,AGOCOASCC01N,AGOCO2,2040.0,0.0
REGION,AGOCOASCP01N,AGOCO2,2040.0,0.0
REGION,AGOCOASCP01O,AGOCO2,2040.0,0.0
REGION,AGOHFOGCP01N,AGOCO2,2040.0,0.0
REGION,AGOHFOGCP01O,AGOCO2,2015.0,1.0848
REGION,AGOHFOGCP01O,AGOCO2,2016.0,1.0848
REGION,AGOHFOGCP01O,AGOCO2,2017.0,0.217
REGION,AGOHFOGCP01O,AGOCO2,2018.0,0.217
REGION,AGOHFOGCP01O,AGOCO2,2019.0,0.217
REGION,AGOHFOGCP01O,AGOCO2,2020.0,0.217
REGION,AGOHFOGCP01O,AGOCO2,2021.0,0.2061
REGION,AGOHFOGCP01O,AGOCO2,2022.0,0.1953
REGION,AGOHFOGCP01O,AGOCO2,2023.0,0.1844
REGION,AGOHFOGCP01O,AGOCO2,2024.0,0.1736
REGION,AGOHFOGCP01O,AGOCO2,2025.0,0.1627
REGION,AGOHFOGCP01O,AGOCO2,2026.0,0.1519
REGION,AGOHFOGCP01O,AGOCO2,2027.0,0.2938
REGION,AGOHFOGCP01O,AGOCO2,2028.0,0.2712
REGION,AGOHFOGCP01O,AGOCO2,2029.0,0.2486
REGION,AGOHFOGCP01O,AGOCO2,2030.0,0.226
REGION,AGOHFOGCP01O,AGOCO2,2031.0,0.2034
REGION,AGOHFOGCP01O,AGOCO2,2032.0,0.1808
REGION,AGOHFOGCP01O,AGOCO2,2033.0,0.1582
REGION,AGOHFOGCP01O,AGOCO2,2034.0,0.1356
REGION,AGOHFOGCP01O,AGOCO2,2035.0,0.113
REGION,AGOHFOGCP01O,AGOCO2,2036.0,0.0904
REGION,AGOHFOGCP01O,AGOCO2,2037.0,0.0507
REGION,AGOHFOGCP01O,AGOCO2,2038.0,0.0338
REGION,AGOHFOGCP01O,AGOCO2,2039.0,0.0113
REGION,AGOHFOGCP01O,AGOCO2,2040.0,0.0
REGION,AGOHYDLSP00X,AGOCO2,2015.0,0.0039
REGION,AGOHYDLSP00X,AGOCO2,2016.0,0.0039
REGION,AGOHYDLSP00X,AGOCO2,2017.0,0.0104
REGION,AGOHYDLSP00X,AGOCO2,2018.0,0.0115
REGION,AGOHYDLSP00X,AGOCO2,2019.0,0.0153
REGION,AGOHYDLSP00X,AGOCO2,2020.0,0.016
REGION,AGOHYDLSP00X,AGOCO2,2021.0,0.0173
REGION,AGOHYDLSP00X,AGOCO2,2022.0,0.0173
REGION,AGOHYDLSP00X,AGOCO2,2023.0,0.0173
REGION,AGOHYDLSP00X,AGOCO2,2024.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2025.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2026.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2027.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2028.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2029.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2030.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2031.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2032.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2033.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2034.0,0.028
REGION,AGOHYDLSP00X,AGOCO2,2035.0,0.028
