r,t,y,AnnualVariableOperatingCost
REGION,AGOCO1R1P00X,2015,0.0014372154225
REGION,AGOCO1R1P00X,2016,0.0014372154225
REGION,AGOCO1R1P00X,2017,0.0014372154225
REGION,AGOCO1R1P00X,2018,0.0014372154225
REGION,AGOCO1R1P00X,2019,0.0014372154225
REGION,AGOCO1R1P00X,2020,0.00214468364999099
REGION,AGOCO1R1P00X,2021,0.0023069571981626995
REGION,AGOCO1R1P00X,2022,0.002450371129778865
REGION,AGOCO1R1P00X,2023,0.002591728294709092
REGION,AGOCO1R1P00X,2024,0.0027325200705283046
REGION,AGOCO1R1P00X,2025,0.0028728005212404436
REGION,AGOCO1R1P00X,2026,0.0028947680724439083
REGION,AGOCO1R1P00X,2027,0.0029169988693439892
REGION,AGOCO1R1P00X,2028,0.002938186343079878
REGION,AGOCO1R1P00X,2029,0.002959162225453619
REGION,AGOCO1R1P00X,2030,0.0029765561060147707
REGION,AGOCO1R1P00X,2031,0.0029680624435237434
REGION,AGOCO1R1P00X,2032,0.0029589391795590155
REGION,AGOCO1R1P00X,2033,0.002949187580225902
REGION,AGOCO1R1P00X,2034,0.0029388212459454176
REGION,AGOCO1R1P00X,2035,0.0029278590866122925
REGION,AGOCO1R1P00X,2036,0.00294134435368974
REGION,AGOCO1R1P00X,2037,0.0029542588115040102
REGION,AGOCO1R1P00X,2038,0.002966604543002522
REGION,AGOCO1R1P00X,2039,0.0029806689452426434
REGION,AGOCO1R1P00X,2040,0.0029912113104568045
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,104.19869678399999
REGION,AGOCO1RCP00X,2016,104.19869678399999
REGION,AGOCO1RCP00X,2017,104.19869678399999
REGION,AGOCO1RCP00X,2018,104.19869678399999
REGION,AGOCO1RCP00X,2019,104.19869678399999
REGION,AGOCO1RCP00X,2020,155.49042811848443
REGION,AGOCO1RCP00X,2021,167.25532569563106
REGION,AGOCO1RCP00X,2022,177.6528934792275
REGION,AGOCO1RCP00X,2023,187.90134484999663
REGION,AGOCO1RCP00X,2024,198.1088052825796
REGION,AGOCO1RCP00X,2025,208.2791944390303
REGION,AGOCO1RCP00X,2026,209.87185074587302
REGION,AGOCO1RCP00X,2027,211.48359247170902
REGION,AGOCO1RCP00X,2028,213.01969284807748
REGION,AGOCO1RCP00X,2029,214.54045276549925
REGION,AGOCO1RCP00X,2030,215.80151610931998
REGION,AGOCO1RCP00X,2031,215.18572215899573
REGION,AGOCO1RCP00X,2032,214.5242818483377
REGION,AGOCO1RCP00X,2033,213.81728697049058
REGION,AGOCO1RCP00X,2034,213.06572356145423
REGION,AGOCO1RCP00X,2035,212.27096259620987
REGION,AGOCO1RCP00X,2036,213.24864988877314
REGION,AGOCO1RCP00X,2037,214.18495327993685
REGION,AGOCO1RCP00X,2038,215.0800237842262
REGION,AGOCO1RCP00X,2039,216.0996986092552
REGION,AGOCO1RCP00X,2040,216.8640243318568
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2015,0.0003369635954207153
REGION,AGOEL1TRP00X,2016,0.0003647526128345218
REGION,AGOEL1TRP00X,2017,0.0003763374608397241
REGION,AGOEL1TRP00X,2018,0.00041089609236166227
REGION,AGOEL1TRP00X,2019,0.0004515102973457606
REGION,AGOEL1TRP00X,2020,0.00048504152937521155
REGION,AGOEL1TRP00X,2021,0.0005220507579279875
REGION,AGOEL1TRP00X,2022,0.0006024936504917627
REGION,AGOEL1TRP00X,2023,0.0006840036565185617
REGION,AGOEL1TRP00X,2024,0.0007663769222705729
REGION,AGOEL1TRP00X,2025,0.0008496448143564424
REGION,AGOEL1TRP00X,2026,0.0009356151877665681
REGION,AGOEL1TRP00X,2027,0.0009909632316080512
REGION,AGOEL1TRP00X,2028,0.001047486770257108
REGION,AGOEL1TRP00X,2029,0.0011050518136869131
REGION,AGOEL1TRP00X,2030,0.001163720596579149
REGION,AGOEL1TRP00X,2031,0.0011979028743544355
REGION,AGOEL1TRP00X,2032,0.0012333563817885722
REGION,AGOEL1TRP00X,2033,0.0012701196123232072
REGION,AGOEL1TRP00X,2034,0.0013082237982419507
REGION,AGOEL1TRP00X,2035,0.0013644988024408221
REGION,AGOEL1TRP00X,2036,0.0014329456712420246
REGION,AGOEL1TRP00X,2037,0.0015034059537969607
REGION,AGOEL1TRP00X,2038,0.0015759261885611572
REGION,AGOEL1TRP00X,2039,0.0016505628234290025
REGION,AGOEL1TRP00X,2040,0.0017273795273214103
REGION,AGOEL2DIP00X,2015,0.0003201154156496789
REGION,AGOEL2DIP00X,2016,0.00034651498219279506
REGION,AGOEL2DIP00X,2017,0.00035752058779773725
REGION,AGOEL2DIP00X,2018,0.00039035128774357836
REGION,AGOEL2DIP00X,2019,0.0004289347824784718
REGION,AGOEL2DIP00X,2020,0.00046078945290645005
REGION,AGOEL2DIP00X,2021,0.0004516422024930325
REGION,AGOEL2DIP00X,2022,0.00048394410375474133
REGION,AGOEL2DIP00X,2023,0.0005174457501153963
REGION,AGOEL2DIP00X,2024,0.0005519523069262737
REGION,AGOEL2DIP00X,2025,0.0005874924087210776
REGION,AGOEL2DIP00X,2026,0.0006257823637462812
REGION,AGOEL2DIP00X,2027,0.0006650310748051928
REGION,AGOEL2DIP00X,2028,0.0007054521218515208
REGION,AGOEL2DIP00X,2029,0.0007469178670703614
REGION,AGOEL2DIP00X,2030,0.0007894870890053819
REGION,AGOEL2DIP00X,2031,0.0008064641575090833
REGION,AGOEL2DIP00X,2032,0.0008238876121406321
REGION,AGOEL2DIP00X,2033,0.0008417565552340548
REGION,AGOEL2DIP00X,2034,0.0008600613441192659
REGION,AGOEL2DIP00X,2035,0.0008947490971255164
REGION,AGOEL2DIP00X,2036,0.0009400775230685026
REGION,AGOEL2DIP00X,2037,0.0009863506742666599
REGION,AGOEL2DIP00X,2038,0.0010335651033109815
REGION,AGOEL2DIP00X,2039,0.0010817244266011134
REGION,AGOEL2DIP00X,2040,0.0011308366542932197
REGION,AGOEL3DIP00X,2023,0.00013235772357723615
REGION,AGOEL3DIP00X,2024,0.0001761057692307691
REGION,AGOEL3DIP00X,2025,0.00021967016491754104
REGION,AGOEL3DIP00X,2026,0.0002630520646319566
REGION,AGOEL3DIP00X,2027,0.0002763839952224541
REGION,AGOEL3DIP00X,2028,0.00028966030989272966
REGION,AGOEL3DIP00X,2029,0.00030288135593220414
REGION,AGOEL3DIP00X,2030,0.00031604747774480744
REGION,AGOEL3DIP00X,2031,0.00033154357312762826
REGION,AGOEL3DIP00X,2032,0.00034780095055850924
REGION,AGOEL3DIP00X,2033,0.0003648570764729896
REGION,AGOEL3DIP00X,2034,0.0003827512642105851
REGION,AGOEL3DIP00X,2035,0.000401524765193262
REGION,AGOEL3DIP00X,2036,0.00042122086461141765
REGION,AGOEL3DIP00X,2037,0.00044188498184044995
REGION,AGOEL3DIP00X,2038,0.000463564775822115
REGION,AGOEL3DIP00X,2039,0.00048631025565643536
REGION,AGOEL3DIP00X,2040,0.0005101738966621168
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2021,0.00010044420380517256
REGION,AGOELCODBP00,2023,0.00011271627548789236
REGION,AGOELCODBP00,2024,0.00017269093270766707
REGION,AGOELCODBP00,2025,0.0001187317869196519
REGION,AGOELCODBP00,2030,0.00011209610378563707
REGION,AGOELCODBP00,2033,0.00012003492833732875
REGION,AGOELCODBP00,2034,0.00013434417346549183
REGION,AGOELCODBP00,2035,0.0001405914357206932
REGION,AGOELCODBP00,2036,0.00014638817225874645
REGION,AGOELCODBP00,2037,0.0001251250258761049
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2015,0.00016632926273684213
REGION,AGOHFODIP00X,2016,0.0001625837461894737
REGION,AGOHFODIP00X,2017,0.00013488030231578957
REGION,AGOHFODIP00X,2018,0.0001342180051368423
REGION,AGOHFODIP00X,2019,0.00014386604531119602
REGION,AGOHFODIP00X,2020,0.00013292070821420115
REGION,AGOHFODIP00X,2021,0.00014723821206103738
REGION,AGOHFODIP00X,2022,0.00015981201450155673
REGION,AGOHFODIP00X,2023,0.00017234271055049786
REGION,AGOHFODIP00X,2024,0.0001848283708268059
REGION,AGOHFODIP00X,2025,0.00019726715580206287
REGION,AGOHFODIP00X,2026,0.000200311428261827
REGION,AGOHFODIP00X,2027,0.00020330624093211803
REGION,AGOHFODIP00X,2028,0.0002062509860824088
REGION,AGOHFODIP00X,2029,0.00020914540559059376
REGION,AGOHFODIP00X,2030,0.000211989608913517
REGION,AGOHFODIP00X,2031,0.00021234295955421925
REGION,AGOHFODIP00X,2032,0.00021264594207702654
REGION,AGOHFODIP00X,2033,0.00021289865777036177
REGION,AGOHFODIP00X,2034,0.00021310219466790753
REGION,AGOHFODIP00X,2035,0.00021325806556124122
REGION,AGOHFODIP00X,2036,0.0002153697305674223
REGION,AGOHFODIP00X,2037,0.00021743573083254865
REGION,AGOHFODIP00X,2038,0.00021945623299241443
REGION,AGOHFODIP00X,2039,0.00022143106224280416
REGION,AGOHFODIP00X,2040,0.00022335983140056554
REGION,AGOHFOEMP00X,2015,-20.566665017183993
REGION,AGOHFOEMP00X,2016,-15.397992241691144
REGION,AGOHFOEMP00X,2017,-20.836156186164462
REGION,AGOHFOEMP00X,2018,-18.688633968953813
REGION,AGOHFOEMP00X,2019,-16.403936923893298
REGION,AGOHFOEMP00X,2020,-16.616947982347114
REGION,AGOHFOEMP00X,2021,-16.38053850185353
REGION,AGOHFOEMP00X,2022,-16.128745801619015
REGION,AGOHFOEMP00X,2023,-15.86205959243661
REGION,AGOHFOEMP00X,2024,-15.580969585099375
REGION,AGOHFOEMP00X,2025,-15.285965490400342
REGION,AGOHFOEMP00X,2026,-14.908516111210318
REGION,AGOHFOEMP00X,2027,-14.523538824332679
REGION,AGOHFOEMP00X,2028,-14.131400912862198
REGION,AGOHFOEMP00X,2029,-13.732469659893692
REGION,AGOHFOEMP00X,2030,-13.327112348521945
REGION,AGOHFOEMP00X,2031,-13.164907362701095
REGION,AGOHFOEMP00X,2032,-12.993934539808908
REGION,AGOHFOEMP00X,2033,-12.814193879845247
REGION,AGOHFOEMP00X,2034,-12.625685382810277
REGION,AGOHFOEMP00X,2035,-12.428409048703918
REGION,AGOHFOEMP00X,2036,-12.192554231483262
REGION,AGOHFOEMP00X,2037,-11.949685144605569
REGION,AGOHFOEMP00X,2038,-11.69980178807084
REGION,AGOHFOEMP00X,2039,-11.442904161878953
REGION,AGOHFOEMP00X,2040,-11.271379575557086
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2015,164.31506194732137
REGION,AGOHFOIMP00X,2016,122.89447135200344
REGION,AGOHFOIMP00X,2017,52.73835835634574
REGION,AGOHFOIMP00X,2018,56.21770086171062
REGION,AGOHFOIMP00X,2019,55.27364963776793
REGION,AGOHFOIMP00X,2020,13.94826631561926
REGION,AGOHFOIMP00X,2021,13.46361598903908
REGION,AGOHFOIMP00X,2022,12.810608299010624
REGION,AGOHFOIMP00X,2023,12.214403454428835
REGION,AGOHFOIMP00X,2024,11.599531798716786
REGION,AGOHFOIMP00X,2025,10.962790631114466
REGION,AGOHFOIMP00X,2026,10.307673364057772
REGION,AGOHFOIMP00X,2027,24.904042301461683
REGION,AGOHFOIMP00X,2028,23.07902666953659
REGION,AGOHFOIMP00X,2029,21.213007750527474
REGION,AGOHFOIMP00X,2030,19.48693698522922
REGION,AGOHFOIMP00X,2031,17.769009645741452
REGION,AGOHFOIMP00X,2032,15.999800893135419
REGION,AGOHFOIMP00X,2033,14.179310727410416
REGION,AGOHFOIMP00X,2034,12.307539148566189
REGION,AGOHFOIMP00X,2035,10.384486156602154
REGION,AGOHFOIMP00X,2036,8.38963918627261
REGION,AGOHFOIMP00X,2037,4.47548605700257
REGION,AGOHFOIMP00X,2038,3.012554779290489
REGION,AGOHFOIMP00X,2039,0.761301181931909
REGION,AGOHFOIMP00X,2040,0.0
REGION,AGOHYDLSP00X,2015,0.00011803924800000002
REGION,AGOHYDLSP00X,2016,0.00011803924800000002
REGION,AGOHYDLSP00X,2017,0.0003181047198069242
REGION,AGOHYDLSP00X,2018,0.0003514969513288623
REGION,AGOHYDLSP00X,2019,0.00046685622129813555
REGION,AGOHYDLSP00X,2020,0.0004885770217540964
REGION,AGOHYDLSP00X,2021,0.0005284802879999999
REGION,AGOHYDLSP00X,2022,0.000528480288
REGION,AGOHYDLSP00X,2023,0.0005284802879999999
REGION,AGOHYDLSP00X,2024,0.0008535376079999999
REGION,AGOHYDLSP00X,2025,0.0008535376080000001
REGION,AGOHYDLSP00X,2026,0.0008535376080000001
REGION,AGOHYDLSP00X,2027,0.0008535376080000001
REGION,AGOHYDLSP00X,2028,0.000853537608
REGION,AGOHYDLSP00X,2029,0.0008535376079999999
REGION,AGOHYDLSP00X,2030,0.0008535376079999999
REGION,AGOHYDLSP00X,2031,0.0008535376079999999
REGION,AGOHYDLSP00X,2032,0.0008535376079999999
REGION,AGOHYDLSP00X,2033,0.000853537608
REGION,AGOHYDLSP00X,2034,0.0008535376080000001
REGION,AGOHYDLSP00X,2035,0.000853537608
REGION,AGOHYDLSP00X,2036,0.0008535376079999999
REGION,AGOHYDLSP00X,2037,0.000853537608
REGION,AGOHYDLSP00X,2038,0.0008535376079999999
REGION,AGOHYDLSP00X,2039,0.0008535376079999999
REGION,AGOHYDLSP00X,2040,0.0008535376079999999
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOLFODIP00X,2015,0.001912786521473686
REGION,AGOLFODIP00X,2016,0.0018697130811789488
REGION,AGOLFODIP00X,2017,0.0015511234766315805
REGION,AGOLFODIP00X,2018,0.0015435070590736862
REGION,AGOLFODIP00X,2019,0.00165445952107875
REGION,AGOLFODIP00X,2020,0.0015285881444633159
REGION,AGOLFODIP00X,2021,0.0016932394387019223
REGION,AGOLFODIP00X,2022,0.0018378381667679055
REGION,AGOLFODIP00X,2023,0.0019819411713307166
REGION,AGOLFODIP00X,2024,0.0021255262645082703
REGION,AGOLFODIP00X,2025,0.0022685722917237246
REGION,AGOLFODIP00X,2026,0.0023035814250110093
REGION,AGOLFODIP00X,2027,0.002338021770719361
REGION,AGOLFODIP00X,2028,0.0023718863399476986
REGION,AGOLFODIP00X,2029,0.0024051721642918216
REGION,AGOLFODIP00X,2030,0.002437880502505446
REGION,AGOLFODIP00X,2031,0.0024419440348735183
REGION,AGOLFODIP00X,2032,0.002445428333885802
REGION,AGOLFODIP00X,2033,0.0024483345643591574
REGION,AGOLFODIP00X,2034,0.00245067523868093
REGION,AGOLFODIP00X,2035,0.0024524677539542773
REGION,AGOLFODIP00X,2036,0.0024767519015253515
REGION,AGOLFODIP00X,2037,0.002500510904574308
REGION,AGOLFODIP00X,2038,0.0025237466794127673
REGION,AGOLFODIP00X,2039,0.0025464572157922515
REGION,AGOLFODIP00X,2040,0.002568638061106499
REGION,AGOLFOEMP00X,2015,-401.3615839717116
REGION,AGOLFOEMP00X,2016,-300.4635746071084
REGION,AGOLFOEMP00X,2017,-406.53734061471437
REGION,AGOLFOEMP00X,2018,-364.5984197714264
REGION,AGOLFOEMP00X,2019,-319.99188536275335
REGION,AGOLFOEMP00X,2020,-327.7466251960943
REGION,AGOLFOEMP00X,2021,-323.13986439409365
REGION,AGOLFOEMP00X,2022,-318.22903348259626
REGION,AGOLFOEMP00X,2023,-313.0236161146718
REGION,AGOLFOEMP00X,2024,-307.53309594338
REGION,AGOLFOEMP00X,2025,-301.76695662178906
REGION,AGOLFOEMP00X,2026,-294.37184916793206
REGION,AGOLFOEMP00X,2027,-286.8263365414258
REGION,AGOLFOEMP00X,2028,-279.13753148207655
REGION,AGOLFOEMP00X,2029,-271.3125467296792
REGION,AGOLFOEMP00X,2030,-260.43787033527616
REGION,AGOLFOEMP00X,2031,-257.2680673081691
REGION,AGOLFOEMP00X,2032,-253.92692357689498
REGION,AGOLFOEMP00X,2033,-250.41443914145265
REGION,AGOLFOEMP00X,2034,-246.73061400184173
REGION,AGOLFOEMP00X,2035,-242.8754481580629
REGION,AGOLFOEMP00X,2036,-238.2663832159448
REGION,AGOLFOEMP00X,2037,-233.5202457104922
REGION,AGOLFOEMP00X,2038,-228.63703564170572
REGION,AGOLFOEMP00X,2039,-226.1244551683355
REGION,AGOLFOEMP00X,2040,-218.4593978141304
REGION,AGOLFOIMP00X,2015,1491.0407988460602
REGION,AGOLFOIMP00X,2016,1114.7494444381603
REGION,AGOLFOIMP00X,2017,770.07788256892
REGION,AGOLFOIMP00X,2018,785.8240879213862
REGION,AGOLFOIMP00X,2019,805.4158821260019
REGION,AGOLFOIMP00X,2040,0.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01O,2015,0.00012723785822871532
REGION,AGOLFORCP01O,2016,0.00013602375508252185
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2015,-2489.4796250271997
REGION,AGOLNGEXP00X,2016,-2374.963562275951
REGION,AGOLNGEXP00X,2017,-2453.9925221930625
REGION,AGOLNGEXP00X,2018,-2866.716310694823
REGION,AGOLNGEXP00X,2019,-2737.714076713557
REGION,AGOLNGEXP00X,2020,-2748.842995724588
REGION,AGOLNGEXP00X,2021,-2759.971914735619
