r,t,y,TotalCapacityAnnual
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,0.045
REGION,AGOBIOCHP01N,2018,0.045
REGION,AGOBIOCHP01N,2019,0.045
REGION,AGOBIOCHP01N,2020,0.045
REGION,AGOBIOCHP01N,2021,0.045
REGION,AGOBIOCHP01N,2022,0.045
REGION,AGOBIOCHP01N,2023,0.045
REGION,AGOBIOCHP01N,2024,0.045
REGION,AGOBIOCHP01N,2025,0.045
REGION,AGOBIOCHP01N,2026,0.045
REGION,AGOBIOCHP01N,2027,0.045
REGION,AGOBIOCHP01N,2028,0.045
REGION,AGOBIOCHP01N,2029,0.045
REGION,AGOBIOCHP01N,2030,0.045
REGION,AGOBIOCHP01N,2031,0.045
REGION,AGOBIOCHP01N,2032,0.045
REGION,AGOBIOCHP01N,2033,0.045
REGION,AGOBIOCHP01N,2034,0.045
REGION,AGOBIOCHP01N,2035,0.045
REGION,AGOBIOCHP01N,2036,0.045
REGION,AGOBIOCHP01N,2037,0.045
REGION,AGOBIOCHP01N,2038,0.045
REGION,AGOBIOCHP01N,2039,0.045
REGION,AGOBIOCHP01N,2040,0.045
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,99999.0
REGION,AGOBIODIP00X,2016,199998.0
REGION,AGOBIODIP00X,2017,299997.0
REGION,AGOBIODIP00X,2018,399996.0
REGION,AGOBIODIP00X,2019,499995.0
REGION,AGOBIODIP00X,2020,599994.0
REGION,AGOBIODIP00X,2021,699993.0
REGION,AGOBIODIP00X,2022,799992.0
REGION,AGOBIODIP00X,2023,899991.0
REGION,AGOBIODIP00X,2024,999990.0
REGION,AGOBIODIP00X,2025,1099989.0
REGION,AGOBIODIP00X,2026,1199988.0
REGION,AGOBIODIP00X,2027,1299987.0
REGION,AGOBIODIP00X,2028,1399986.0
REGION,AGOBIODIP00X,2029,1499985.0
REGION,AGOBIODIP00X,2030,1599984.0
REGION,AGOBIODIP00X,2031,1699983.0
REGION,AGOBIODIP00X,2032,1799982.0
REGION,AGOBIODIP00X,2033,1899981.0
REGION,AGOBIODIP00X,2034,1999980.0
REGION,AGOBIODIP00X,2035,2099979.0
REGION,AGOBIODIP00X,2036,2199978.0
REGION,AGOBIODIP00X,2037,2299977.0
REGION,AGOBIODIP00X,2038,2399976.0
REGION,AGOBIODIP00X,2039,2499975.0
REGION,AGOBIODIP00X,2040,2599974.0
REGION,AGOBIOIMP00X,2015,99999.0
REGION,AGOBIOIMP00X,2016,199998.0
REGION,AGOBIOIMP00X,2017,299997.0
REGION,AGOBIOIMP00X,2018,399996.0
REGION,AGOBIOIMP00X,2019,499995.0
REGION,AGOBIOIMP00X,2020,599994.0
REGION,AGOBIOIMP00X,2021,699993.0
REGION,AGOBIOIMP00X,2022,799992.0
REGION,AGOBIOIMP00X,2023,899991.0
REGION,AGOBIOIMP00X,2024,999990.0
REGION,AGOBIOIMP00X,2025,1099989.0
REGION,AGOBIOIMP00X,2026,1199988.0
REGION,AGOBIOIMP00X,2027,1299987.0
REGION,AGOBIOIMP00X,2028,1399986.0
REGION,AGOBIOIMP00X,2029,1499985.0
REGION,AGOBIOIMP00X,2030,1599984.0
REGION,AGOBIOIMP00X,2031,1699983.0
REGION,AGOBIOIMP00X,2032,1799982.0
REGION,AGOBIOIMP00X,2033,1899981.0
REGION,AGOBIOIMP00X,2034,1999980.0
REGION,AGOBIOIMP00X,2035,2099979.0
REGION,AGOBIOIMP00X,2036,2199978.0
REGION,AGOBIOIMP00X,2037,2299977.0
REGION,AGOBIOIMP00X,2038,2399976.0
REGION,AGOBIOIMP00X,2039,2499975.0
REGION,AGOBIOIMP00X,2040,2599974.0
REGION,AGOBIOPRP00X,2015,99999.0
REGION,AGOBIOPRP00X,2016,199998.0
REGION,AGOBIOPRP00X,2017,299997.0
REGION,AGOBIOPRP00X,2018,399996.0
REGION,AGOBIOPRP00X,2019,499995.0
REGION,AGOBIOPRP00X,2020,599994.0
REGION,AGOBIOPRP00X,2021,699993.0
REGION,AGOBIOPRP00X,2022,799992.0
REGION,AGOBIOPRP00X,2023,899991.0
REGION,AGOBIOPRP00X,2024,999990.0
REGION,AGOBIOPRP00X,2025,1099989.0
REGION,AGOBIOPRP00X,2026,1199988.0
REGION,AGOBIOPRP00X,2027,1299987.0
REGION,AGOBIOPRP00X,2028,1399986.0
REGION,AGOBIOPRP00X,2029,1499985.0
REGION,AGOBIOPRP00X,2030,1599984.0
REGION,AGOBIOPRP00X,2031,1699983.0
REGION,AGOBIOPRP00X,2032,1799982.0
REGION,AGOBIOPRP00X,2033,1899981.0
REGION,AGOBIOPRP00X,2034,1999980.0
REGION,AGOBIOPRP00X,2035,2099979.0
REGION,AGOBIOPRP00X,2036,2199978.0
REGION,AGOBIOPRP00X,2037,2299977.0
REGION,AGOBIOPRP00X,2038,2399976.0
REGION,AGOBIOPRP00X,2039,2499975.0
REGION,AGOBIOPRP00X,2040,2599974.0
REGION,AGOCO1DIP00X,2015,99999.0
REGION,AGOCO1DIP00X,2016,199998.0
REGION,AGOCO1DIP00X,2017,299997.0
REGION,AGOCO1DIP00X,2018,399996.0
REGION,AGOCO1DIP00X,2019,499995.0
REGION,AGOCO1DIP00X,2020,599994.0
REGION,AGOCO1DIP00X,2021,699993.0
REGION,AGOCO1DIP00X,2022,799992.0
REGION,AGOCO1DIP00X,2023,899991.0
REGION,AGOCO1DIP00X,2024,999990.0
REGION,AGOCO1DIP00X,2025,1099989.0
REGION,AGOCO1DIP00X,2026,1199988.0
REGION,AGOCO1DIP00X,2027,1299987.0
REGION,AGOCO1DIP00X,2028,1399986.0
REGION,AGOCO1DIP00X,2029,1499985.0
REGION,AGOCO1DIP00X,2030,1599984.0
REGION,AGOCO1DIP00X,2031,1699983.0
REGION,AGOCO1DIP00X,2032,1799982.0
REGION,AGOCO1DIP00X,2033,1899981.0
REGION,AGOCO1DIP00X,2034,1999980.0
REGION,AGOCO1DIP00X,2035,2099979.0
REGION,AGOCO1DIP00X,2036,2199978.0
REGION,AGOCO1DIP00X,2037,2299977.0
REGION,AGOCO1DIP00X,2038,2399976.0
REGION,AGOCO1DIP00X,2039,2499975.0
REGION,AGOCO1DIP00X,2040,2599974.0
REGION,AGOCO1EXP00X,2015,99999.0
REGION,AGOCO1EXP00X,2016,199998.0
REGION,AGOCO1EXP00X,2017,299997.0
REGION,AGOCO1EXP00X,2018,399996.0
REGION,AGOCO1EXP00X,2019,499995.0
REGION,AGOCO1EXP00X,2020,599994.0
REGION,AGOCO1EXP00X,2021,699993.0
REGION,AGOCO1EXP00X,2022,799992.0
REGION,AGOCO1EXP00X,2023,899991.0
REGION,AGOCO1EXP00X,2024,999990.0
REGION,AGOCO1EXP00X,2025,1099989.0
REGION,AGOCO1EXP00X,2026,1199988.0
REGION,AGOCO1EXP00X,2027,1299987.0
REGION,AGOCO1EXP00X,2028,1399986.0
REGION,AGOCO1EXP00X,2029,1499985.0
REGION,AGOCO1EXP00X,2030,1599984.0
REGION,AGOCO1EXP00X,2031,1699983.0
REGION,AGOCO1EXP00X,2032,1799982.0
REGION,AGOCO1EXP00X,2033,1899981.0
REGION,AGOCO1EXP00X,2034,1999980.0
REGION,AGOCO1EXP00X,2035,2099979.0
REGION,AGOCO1EXP00X,2036,2199978.0
REGION,AGOCO1EXP00X,2037,2299977.0
REGION,AGOCO1EXP00X,2038,2399976.0
REGION,AGOCO1EXP00X,2039,2499975.0
REGION,AGOCO1EXP00X,2040,2599974.0
REGION,AGOCO1IMP00X,2015,99999.0
REGION,AGOCO1IMP00X,2016,199998.0
REGION,AGOCO1IMP00X,2017,299997.0
REGION,AGOCO1IMP00X,2018,399996.0
REGION,AGOCO1IMP00X,2019,499995.0
REGION,AGOCO1IMP00X,2020,599994.0
REGION,AGOCO1IMP00X,2021,699993.0
REGION,AGOCO1IMP00X,2022,799992.0
REGION,AGOCO1IMP00X,2023,899991.0
REGION,AGOCO1IMP00X,2024,999990.0
REGION,AGOCO1IMP00X,2025,1099989.0
REGION,AGOCO1IMP00X,2026,1199988.0
REGION,AGOCO1IMP00X,2027,1299987.0
REGION,AGOCO1IMP00X,2028,1399986.0
REGION,AGOCO1IMP00X,2029,1499985.0
REGION,AGOCO1IMP00X,2030,1599984.0
REGION,AGOCO1IMP00X,2031,1699983.0
REGION,AGOCO1IMP00X,2032,1799982.0
REGION,AGOCO1IMP00X,2033,1899981.0
REGION,AGOCO1IMP00X,2034,1999980.0
REGION,AGOCO1IMP00X,2035,2099979.0
REGION,AGOCO1IMP00X,2036,2199978.0
REGION,AGOCO1IMP00X,2037,2299977.0
REGION,AGOCO1IMP00X,2038,2399976.0
REGION,AGOCO1IMP00X,2039,2499975.0
REGION,AGOCO1IMP00X,2040,2599974.0
REGION,AGOCO1PRP00X,2015,99999.0
REGION,AGOCO1PRP00X,2016,199998.0
REGION,AGOCO1PRP00X,2017,299997.0
REGION,AGOCO1PRP00X,2018,399996.0
REGION,AGOCO1PRP00X,2019,499995.0
REGION,AGOCO1PRP00X,2020,599994.0
REGION,AGOCO1PRP00X,2021,699993.0
REGION,AGOCO1PRP00X,2022,799992.0
REGION,AGOCO1PRP00X,2023,899991.0
REGION,AGOCO1PRP00X,2024,999990.0
REGION,AGOCO1PRP00X,2025,1099989.0
REGION,AGOCO1PRP00X,2026,1199988.0
REGION,AGOCO1PRP00X,2027,1299987.0
REGION,AGOCO1PRP00X,2028,1399986.0
REGION,AGOCO1PRP00X,2029,1499985.0
REGION,AGOCO1PRP00X,2030,1599984.0
REGION,AGOCO1PRP00X,2031,1699983.0
REGION,AGOCO1PRP00X,2032,1799982.0
REGION,AGOCO1PRP00X,2033,1899981.0
REGION,AGOCO1PRP00X,2034,1999980.0
REGION,AGOCO1PRP00X,2035,2099979.0
REGION,AGOCO1PRP00X,2036,2199978.0
REGION,AGOCO1PRP00X,2037,2299977.0
REGION,AGOCO1PRP00X,2038,2399976.0
REGION,AGOCO1PRP00X,2039,2499975.0
REGION,AGOCO1PRP00X,2040,2599974.0
REGION,AGOCO1R1P00X,2015,739.94760185105
REGION,AGOCO1R1P00X,2016,739.94760185105
REGION,AGOCO1R1P00X,2017,739.94760185105
REGION,AGOCO1R1P00X,2018,739.94760185105
REGION,AGOCO1R1P00X,2019,739.94760185105
REGION,AGOCO1R1P00X,2020,739.94760185105
REGION,AGOCO1R1P00X,2021,739.94760185105
REGION,AGOCO1R1P00X,2022,739.94760185105
REGION,AGOCO1R1P00X,2023,739.94760185105
REGION,AGOCO1R1P00X,2024,904.229945918924
REGION,AGOCO1R1P00X,2025,904.229945918924
REGION,AGOCO1R1P00X,2026,1208.2711409318993
REGION,AGOCO1R1P00X,2027,1208.2711409318993
REGION,AGOCO1R1P00X,2028,1208.2711409318993
REGION,AGOCO1R1P00X,2029,1208.2711409318993
REGION,AGOCO1R1P00X,2030,1208.2711409318993
REGION,AGOCO1R1P00X,2031,1208.2711409318993
REGION,AGOCO1R1P00X,2032,1208.2711409318993
REGION,AGOCO1R1P00X,2033,1208.2711409318993
REGION,AGOCO1R1P00X,2034,1208.2711409318993
REGION,AGOCO1R1P00X,2035,1208.2711409318993
REGION,AGOCO1R1P00X,2036,1208.2711409318993
REGION,AGOCO1R1P00X,2037,1208.2711409318993
REGION,AGOCO1R1P00X,2038,1208.2711409318993
REGION,AGOCO1R1P00X,2039,1208.2711409318993
REGION,AGOCO1R1P00X,2040,1208.2711409318993
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,145.173275
REGION,AGOCO1RCP00X,2016,145.173275
REGION,AGOCO1RCP00X,2017,145.173275
REGION,AGOCO1RCP00X,2018,145.173275
REGION,AGOCO1RCP00X,2019,145.173275
REGION,AGOCO1RCP00X,2020,577.6925656541387
REGION,AGOCO1RCP00X,2021,747.4218200515686
REGION,AGOCO1RCP00X,2022,747.4218200515686
REGION,AGOCO1RCP00X,2023,747.4218200515686
REGION,AGOCO1RCP00X,2024,913.3635817362903
REGION,AGOCO1RCP00X,2025,898.8462542362901
REGION,AGOCO1RCP00X,2026,1101.4955023438406
REGION,AGOCO1RCP00X,2027,1086.9781748438406
REGION,AGOCO1RCP00X,2028,1072.4608473438407
REGION,AGOCO1RCP00X,2029,1057.9435198438407
REGION,AGOCO1RCP00X,2030,1220.4758999312162
REGION,AGOCO1RCP00X,2031,1205.958572431216
REGION,AGOCO1RCP00X,2032,1191.441244931216
REGION,AGOCO1RCP00X,2033,1176.923917431216
REGION,AGOCO1RCP00X,2034,1162.406589931216
REGION,AGOCO1RCP00X,2035,1162.406589931216
REGION,AGOCO1RCP00X,2036,1162.406589931216
REGION,AGOCO1RCP00X,2037,1185.5885451927559
REGION,AGOCO1RCP00X,2038,1185.5885451927559
REGION,AGOCO1RCP00X,2039,1185.5885451927559
REGION,AGOCO1RCP00X,2040,1185.5885451927559
REGION,AGOCOADIP00X,2015,99999.0
REGION,AGOCOADIP00X,2016,199998.0
REGION,AGOCOADIP00X,2017,299997.0
REGION,AGOCOADIP00X,2018,399996.0
REGION,AGOCOADIP00X,2019,499995.0
REGION,AGOCOADIP00X,2020,599994.0
REGION,AGOCOADIP00X,2021,699993.0
REGION,AGOCOADIP00X,2022,799992.0
REGION,AGOCOADIP00X,2023,899991.0
REGION,AGOCOADIP00X,2024,999990.0
